C000001	ALANINE AMINOTRANSFERASE
C000002	ALBUMIN
C000003	ALKALINE PHOSPHATASE
C000004	ASPARTATE AMINOTRANSFERASE
C000005	BLOOD UREA NITROGEN
C000006	CARBON DIOXIDE
C000007	CHLORIDE
C000008	CHOLESTEROL
C000009	CREATINE PHOSPHOKINASE
C000010	CREATININE
C000011	GLUCOSE
C000012	LACTATE DEHYDROGENASE
C000013	LIPASE
C000014	PHOSPHORUS
C000015	POTASSIUM
C000016	SODIUM
C000017	TOTAL BILIRUBIN
C000018	TOTAL PROTEIN
C000019	URIC ACID
H000001	ABSOLUTE BASOPHIL
H000002	ABSOLUTE EOSINOPHIL
H000003	ABSOLUTE LYMPHOCYTE
H000004	ABSOLUTE MONOCYTE
H000005	ABSOLUTE SEGMENTED NEUTROPHIL
H000006	BASOPHIL
H000007	EOSINOPHIL
H000008	ERYTHROCYTE COUNT
H000009	HEMATOCRIT
H000010	HEMOGLOBIN
H000011	LEUKOCYTE COUNT
H000012	LYMPHOCYTE
H000013	MEAN CORPUSCULAR HEMOGLOBIN
H000014	MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION
H000015	MEAN CORPUSCULAR VOLUME
H000016	MONOCYTE
H000017	NEUTROPHIL
H000018	NUCLEATED RED BLOOD CELLS
H000019	PLATELET COUNT
M000001	AUTOLYSIS
M000002	BILE DUCT DILATATION
M000003	BILE DUCT HYPERPLASIA
M000004	"BILE DUCT, NECROSIS, ONCOCYTIC"
M000005	"CAPSULE, HEMORRHAGE"
M000006	"CAPSULE, INFLAMMATORY CELL INFILTRATE, MIXED CELL"
M000007	"CAPSULE, MESOTHELIAL CELL, HYPERPLASIA"
M000008	"CAPSULE, THROMBUS"
M000009	CENTRILOBULAR FIBROSIS
M000010	"CENTRILOBULAR, INFLAMMATORY CELL INFILTRATE, LYMPHOID"
M000011	"CENTRILOBULAR, INFLAMMATORY CELL INFILTRATE, MIXED CELL"
M000012	"CENTRILOBULAR, INFLAMMATORY CELL INFILTRATE, NEUTROPHILIC"
M000013	CLEAR CELL FOCUS
M000014	"CORTEX, CYST(S)"
M000015	"CORTEX, MINERALIZATION"
M000016	"CORTEX, TUBULE, DILATATION"
M000017	"CORTEX, TUBULE, INCREASED MITOSES"
M000018	"CORTEX, TUBULE, NECROSIS"
M000019	"CORTEX, TUBULE, VACUOLATION"
M000020	"ENDOCARDIUM, CELLULAR INFILTRATE, MONONUCLEAR CELL"
M000021	"EPICARDIUM, CELLULAR INFILTRATE, MIXED CELL"
M000022	"EPICARDIUM, CELLULAR INFILTRATE, MONONUCLEAR CELL"
M000023	"EPICARDIUM, HYPERPLASIA"
M000024	EPITHELIAL ATROPHY
M000025	EXTRAMEDULLARY HEMATOPOIESIS INCREASED
M000026	"HEPATOCYTE, CENTRILOBULAR, ATROPHY"
M000027	"HEPATOCYTE, CENTRILOBULAR, CYTOPLASM, EOSINOPHILIA"
M000028	"HEPATOCYTE, CENTRILOBULAR, DEGENERATION"
M000029	"HEPATOCYTE, CENTRILOBULAR, GLYCOGEN ACCUMULATION"
M000030	"HEPATOCYTE, CENTRILOBULAR, HYPERTROPHY"
M000031	"HEPATOCYTE, CENTRILOBULAR, LIPID ACCUMULATION, MACROVESICULAR"
M000032	"HEPATOCYTE, CENTRILOBULAR, LIPID ACCUMULATION, MICROVESICULAR"
M000033	"HEPATOCYTE, CENTRILOBULAR, NECROSIS, APOPTOTIC"
M000034	"HEPATOCYTE, CENTRILOBULAR, NECROSIS, ONCOCYTIC"
M000035	"HEPATOCYTE, DIFFUSE, CYTOPLASM, EOSINOPHILIA"
M000036	"HEPATOCYTE, DIFFUSE, HYPERTROPHY"
M000037	"HEPATOCYTE, MIDZONAL, DEGENERATION"
M000038	"HEPATOCYTE, MIDZONAL, LIPID ACCUMULATION, MACROVESICULAR"
M000039	"HEPATOCYTE, MIDZONAL, LIPID ACCUMULATION, MICROVESICULAR"
M000040	"HEPATOCYTE, MIDZONAL, NECROSIS, APOPTOTIC"
M000041	"HEPATOCYTE, MIDZONAL, NECROSIS, ONCOCYTIC"
M000042	"HEPATOCYTE, NONZONAL, DEGENERATION"
M000043	"HEPATOCYTE, NONZONAL, ERYTHROPHAGOCYTOSIS"
M000044	"HEPATOCYTE, NONZONAL, GLYCOGEN ACCUMULATION"
M000045	"HEPATOCYTE, NONZONAL, INCREASED MITOSES"
M000046	"HEPATOCYTE, NONZONAL, LIPID ACCUMULATION, MACROVESICULAR"
