drug_key,y_hard,p_combined,n_sources_used
acarbose,1,0.999738,5
acetaminophen,1,0.999935,6
acetazolamide,1,0.991667,5
adapin,1,0.996674,4
allopurinol,1,0.999738,5
amiodarone,1,0.999935,6
amitriptyline,1,0.999683,6
amphotericinb,1,0.998733,5
aspirin,1,0.998207,5
azathioprine,1,0.999738,5
bendazac,1,0.996552,3
benzbromarone,1,0.99939,4
benziodarone,1,0.9,3
bortezomib,1,0.999738,5
caffeine,0,0.15,3
captopril,1,0.998733,5
carbamazepine,1,0.999738,5
carbontetrachloride,1,0.989091,3
carboplatin,1,0.998733,5
chlormezanone,1,0.999136,4
chlorpheniramine,0,0.003448,3
chlorpromazine,1,0.998733,5
chlorpropamide,1,0.998733,5
cimetidine,1,0.998733,5
ciprofloxacin,1,0.999738,5
cisplatin,1,0.992865,4
clofibrate,1,0.99705,4
clomipramine,1,0.998519,4
cyclophosphamide,1,0.998733,5
cyclosporinea,1,0.99939,4
danazol,1,0.999738,5
dantrolene,1,0.991667,5
diazepam,1,0.96087,5
diclofenac,1,0.999738,5
diltiazem,1,0.999738,5
disopyramide,1,0.998733,5
disulfiram,1,0.999935,6
doxorubicin,1,0.998733,5
enalapril,1,0.99705,4
ethambutol,1,0.998519,4
ethanol,1,0.992275,3
ethionamide,1,0.998733,5
etoposide,1,0.998733,5
famotidine,1,0.998733,5
fenofibrate,1,0.998733,5
fluphenazine,0,0.067742,3
flutamide,1,0.999738,5
gefitinib,1,0.999738,5
gemfibrozil,1,0.999738,5
gentamicin,0,0.012661,4
glibenclamide,1,0.998733,5
griseofulvin,1,0.999738,5
haloperidol,1,0.999412,5
hexachlorobenzene,1,0.992275,3
hydroxyzine,0,0.1,3
ibuprofen,1,0.999683,6
imatinibmethanesulfonatesalt,1,0.986829,3
imipramine,1,0.998733,5
indomethacin,1,0.999738,5
iproniazid,1,0.996552,3
isoniazid,1,0.999935,6
ketoconazole,1,0.999935,6
labetalol,1,0.999738,5
lomustine,1,0.998733,5
mefenamicacid,1,0.999738,5
meloxicam,1,0.998733,5
metformin,1,0.998733,5
methimazole,1,0.999738,5
methyldopa,1,0.999738,5
methyltestosterone,1,0.998733,5
mexiletine,1,0.998519,4
moxisylyte,1,0.996552,3
naproxen,1,0.998733,5
nicotinicacid,1,0.999738,5
nifedipine,1,0.998733,5
nimesulide,1,0.99939,4
nitrofurantoin,1,0.999935,6
omeprazole,1,0.998733,5
papaverine,1,0.991667,3
pemoline,1,0.996552,3
penicillamine,1,0.998733,5
perhexiline,1,0.991667,3
phenobarbital,1,0.998733,5
phenytoin,1,0.999738,5
propranolol,0,0.15,3
propylthiouracil,1,0.999738,5
quinidine,1,0.99765,4
ranitidine,1,0.998733,5
rifampicin,1,0.999738,5
simvastatin,1,0.998733,5
sulfasalazine,1,0.999738,5
sulindac,1,0.999738,5
tamoxifen,1,0.999738,5
terbinafine,1,0.999738,5
tetracycline,1,0.99765,4
theophylline,0,0.019231,4
thioridazine,1,0.998733,5
ticlopidine,1,0.999738,5
tolbutamide,1,0.929687,4
triamterene,1,0.992865,4
valproicacid,1,0.999935,6
vitamina,1,0.994534,3
