drug_key,path_vacuol_fatty_high,path_mod_severe_high,chem_LWrel_1.2x_high
acarbose,0,0,0
acetaminophen,0,1,1
acetazolamide,0,0,0
adapin,1,0,0
allopurinol,0,0,0
amiodarone,1,0,1
amitriptyline,1,1,1
amphotericinb,0,0,0
aspirin,0,1,1
azathioprine,1,1,0
bendazac,1,1,1
benzbromarone,0,1,1
benziodarone,0,0,1
bortezomib,1,1,0
caffeine,0,0,0
captopril,0,0,0
carbamazepine,0,1,1
carbontetrachloride,1,1,1
carboplatin,0,0,0
chlormezanone,0,1,1
chlorpheniramine,0,0,0
chlorpromazine,0,0,1
chlorpropamide,0,1,0
cimetidine,0,1,0
ciprofloxacin,0,0,0
cisplatin,0,0,0
clofibrate,0,0,1
clomipramine,1,1,0
cyclophosphamide,0,0,0
cyclosporinea,0,0,0
danazol,0,0,1
dantrolene,0,0,1
diazepam,1,0,0
diclofenac,0,0,0
diltiazem,1,1,1
disopyramide,0,0,0
disulfiram,1,1,1
doxorubicin,0,0,0
enalapril,1,0,0
ethambutol,0,1,1
ethanol,1,1,0
ethionamide,1,1,0
etoposide,0,0,0
famotidine,0,0,0
fenofibrate,0,1,1
fluphenazine,0,0,0
flutamide,0,1,1
gefitinib,0,1,0
gemfibrozil,0,1,1
gentamicin,0,0,0
glibenclamide,0,0,0
griseofulvin,0,1,0
haloperidol,0,0,0
hexachlorobenzene,1,1,1
hydroxyzine,1,1,1
ibuprofen,0,1,1
imatinibmethanesulfonatesalt,0,0,0
imipramine,1,1,1
indomethacin,0,1,0
iproniazid,0,1,0
isoniazid,0,1,0
ketoconazole,1,1,1
labetalol,0,0,0
lomustine,1,1,1
mefenamicacid,0,0,1
meloxicam,0,0,1
metformin,0,0,1
methimazole,0,1,1
methyldopa,0,0,0
methyltestosterone,0,0,1
mexiletine,0,0,0
moxisylyte,0,0,1
naproxen,0,1,1
nicotinicacid,0,1,0
nifedipine,0,0,1
nimesulide,0,1,1
nitrofurantoin,0,0,0
omeprazole,0,1,1
papaverine,0,1,0
pemoline,0,0,0
penicillamine,0,0,0
perhexiline,0,0,0
phenobarbital,0,1,1
phenytoin,0,1,1
propranolol,0,0,0
propylthiouracil,0,0,1
quinidine,0,1,0
ranitidine,0,0,0
rifampicin,1,0,0
simvastatin,1,0,1
sulfasalazine,0,1,0
sulindac,0,0,1
tamoxifen,0,0,1
terbinafine,0,1,1
tetracycline,1,0,0
theophylline,0,0,0
thioridazine,0,0,1
ticlopidine,0,1,1
tolbutamide,0,1,0
triamterene,0,0,0
valproicacid,0,0,0
vitamina,1,1,1
