,p_expr,p_mean,p_combined,y_fusion,anchor,y_anchor
fluocinoloneacetonide,0.0103876662609634,0.1289562093681054,0.15,0,False,-1
betamethasone,0.0108321335958971,0.0989089613379634,0.15,0,False,-1
gentianviolet,0.0400493332379293,0.2426638160873823,0.15,0,False,-1
trichloroaceticacid,0.0462595781389507,0.5071859115184549,0.15,0,False,-1
benzethoniumchloride,0.0540163018547391,0.3417563523662184,0.15,0,False,-1
tropisetron,0.0973264371285223,0.2845122751680347,0.15,0,False,-1
nystatin,0.2604067294171139,0.458315134395263,0.003448,0,False,-1
oxymetazoline,0.2617729408165642,0.4386344790976376,0.15,0,False,-1
oxytetracycline,0.3137254364700549,0.3389754855713851,0.030201,0,False,-1
lomefloxacin,0.3271608662052306,0.438185992832142,0.291667,0,False,-1
vinorelbine,0.4008040705738528,0.3169028644743227,0.291667,0,False,-1
neomycin,0.4166504922458417,0.3992816547110795,0.00061,0,False,-1
fludrocortisoneacetate,0.4255294152672623,0.2960980409669645,0.1,0,False,-1
daunorubicin,0.4354870673579079,0.4064227789619729,0.386364,0,False,-1
pramoxine,0.4777949496846599,0.6112529050256867,0.15,0,False,-1
