,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
acarbose,-0.159756612959186,0.2067512287338619,0.0072587203334916,0.1221750836256723,0.107500795418393,0.2098420537099123,0.0377938245305272,0.0599273273376857,-0.070563301728968,0.1834900516887149,0.1312755960956451,-0.1627689296155499,0.0568273716081418,0.1974177048097912,0.0821732773664057,0.094824691404318,-0.0946162845965166,0.1329572593263628,0.0484410283133536,0.2004034470994811,0.0426371583224624,0.0582774803952401,0.1266567776526061,0.115694840587608,0.1155739381891462,0.1102683999431423,0.1347900008243002,0.1338089568328347,0.1602671944582014,0.1304554530759763,-0.1846288576226296,-0.3396711202469006,-0.5089373817618722,0.1232570243701795,0.183332789825554,-0.306973404205106,0.0056265883743157,-0.0466290563222576,-0.0492828456683771,-0.0229821047341726,-0.0609912943246012,-0.1525838843986691,-0.0972188038395387,0.1334062015611638,0.1218208672341084,-0.2210639606395862,0.1690739252712033,-0.0482929653643743,0.1575111898545348,-0.0302571207617495
acetaminophen,0.1044445419654466,-0.1384820350816242,-0.0371453046787558,-0.2561393489434199,-0.1685727248087942,-0.267484286996851,-0.1097897474957572,-0.1091298268630957,-0.2934746235358862,-0.3011860086384925,-0.2086132379365544,0.2457406261408692,0.4273050091923355,-0.1757280752414223,-0.1565665236051174,-0.0730447791993607,0.1210595590654908,0.2525951999929197,0.0544539980313768,-0.2010412494993617,0.0213140809380247,-0.050494054848339,-0.149474110420454,-0.402064448698993,-0.1817880622811066,-0.2624972366530375,-0.2234976506471392,0.010974805262196,-0.1356349242049356,0.0067779151215509,0.1610112327021892,0.4409843422167732,0.4359597629268541,-0.08344176649513,-0.3250220120658471,0.2090446489781192,-0.0921530262071525,0.0849053524804211,-0.0535584514930343,0.0392949172597835,0.0194952528285903,0.1059969910080318,0.1153909262449691,-0.2870220411907581,-0.2026790516601995,0.2062038745387623,-0.2432528123743888,0.0599877569965128,-0.1994195262961258,-0.0477843747181637
acetazolamide,-0.0343367292910598,0.1072548244300728,0.0466976029938853,-0.0551929509668123,0.0755500170867689,-0.0126438658068731,0.0097874259738525,-0.0122421501441377,-0.0334448782301719,0.0526913545280608,0.0643858151091882,-0.1927742117569407,-0.2945156605468326,-0.0112449467865647,0.0518176673112215,-0.0049516001950999,-0.0456052795144341,-0.321177699976203,-0.0961843552776004,-0.0048428484551754,0.0601262501311933,0.0735999280284209,0.1064185202171398,0.0273599281081459,0.0356797146722049,-0.1666426518656818,0.0167752040227554,0.1865083355624264,0.1039149535933283,-0.1213574847072914,-0.1310259973365432,-0.3550103958967593,-0.3591341047218963,0.1190875944068095,-0.1375835643241388,-0.0760557007262042,0.0183285243699101,0.2577443118239549,-0.1011474469305617,-0.0327592782017019,-0.1037037037036812,-0.0187478861247884,0.0276478792353865,-0.0534399827618536,-0.0902294581850036,-0.1865083025830092,-0.0146638961430199,-0.0909185094320844,-0.2151739089891361,0.0064520059794503
adapin,0.0636987732384827,0.108843232235139,0.0367347502723691,0.0852981969486654,0.1357248912928289,0.1436290915027444,-0.0054378887858322,0.1225276622188158,0.2287265290946229,0.0621227784465078,0.0498056517797918,-0.1172208168159302,-0.4212943141847296,-0.0003300057750912,0.1962726972598319,0.1601714628747165,0.0558809549925166,-0.3404842295973513,0.0458673498928818,0.0736958424183223,-0.0166074400611781,0.0586373382513865,0.053398756901029,-0.0600397065718702,0.116166335351754,0.1382364319663877,0.0671451240623219,0.1007528051696701,0.0735744380969486,-0.2082311178726412,0.0301864396966006,-0.3038248137502759,-0.2748354880677548,0.0656153546953672,0.0889059187999445,0.0380680070423789,0.024297574339964,0.0513521074226029,0.1343141272573349,-0.1069786547008679,-0.0052780052780047,0.2143556908435755,-0.1264254655837254,0.0068952574252599,0.075823935024315,-0.2279059040590221,0.0172910807553382,-0.0035787696373484,0.1740022379709073,0.124618367852114
allopurinol,-0.1930334370978987,0.3413444033272434,0.0978767626205946,0.2307252998286704,0.140926043765691,0.2306301526406323,0.1355293456956152,0.0283949871398724,0.244238706079194,0.3269624017559813,0.2411192676885338,-0.1614089076583872,-0.3071596667813898,0.1812804224072885,0.1246035938310527,0.1011147900799009,-0.0806295930678561,-0.2610618730397877,0.0645185571188683,0.1964802207093032,0.0248691766752106,0.0866162865668022,0.1265075789121884,0.40319020082829,0.2206419875230137,0.4147260733629699,0.359639559805412,0.0223186721023648,0.1808150780442613,-0.1179978447592696,0.043918997162867,-0.2619292321246622,-0.3784591501315603,0.0390345391100951,-0.0578770585357777,-0.3030537973521191,0.0958260153455382,-0.0261119917941089,-0.1007431084883542,0.1142484950655096,0.108611641944961,-0.1767782792764098,-0.1653950283042151,0.1295971279028673,0.0848167151878321,-0.0868209307092916,0.111999045801553,-0.0469520367905746,0.0613064155166089,0.0382754736460308
amiodarone,0.1456611146462081,-0.0568076185150463,0.1403326280219075,-0.018152892224866,-0.0449838559526715,-0.0527691617010983,0.0400827346202287,0.1274826949300957,0.1676742889012747,0.1225993060964242,0.0696234035320804,0.0498657455716748,-0.2004208605815306,-0.0943981519676567,-0.0789892939678428,-0.0775006565865406,0.2181236517860171,-0.1499345635679146,-0.0216171617161778,-0.1302525994155759,0.0022731021246581,-0.0320963219528322,0.0115626625114941,0.0336162772524716,-0.0033024615018229,0.2917383820998456,0.2199973209133163,-0.1459985478885876,-0.011593420598865,0.0586526576019839,-0.0335128249667171,0.0616430489577915,-0.0020882173631329,-0.0159123916018131,0.0819174955160677,0.2275755129293892,0.0130863832818113,-0.2140712420738171,0.1471136245662962,0.058055364481055,0.1603057603057383,-0.0921008128943213,-0.1792599885141959,0.2858091153634727,-0.0693312046626106,0.0496386838868521,0.1432214242668172,0.0537170658469944,0.0308863297277263,0.0934252768572091
amitriptyline,-0.0374186587191255,-0.0746499503916051,0.0696550948222625,0.0139920045688,-0.0169158977622159,0.1020324871439041,0.0210335415701747,0.0567347361516175,0.2022457705893266,-0.018597323514846,0.024069435226701,-0.0403119311664417,-0.3635155290279,-0.0786238759178163,0.0065905768051657,-0.0463038869920877,0.0876860078242217,-0.3554606034841625,0.0151453303225026,-0.2972381672822203,-0.0054968287526441,-0.0320138545274651,0.002872675426059,-0.0638150054700521,0.0670401211665908,-0.228789338217903,-0.0917612933805905,0.0037650314657688,0.0028893587033092,-0.1470761624037219,0.0817960743442765,-0.1253563969101175,0.2365876422785322,-0.1021664246158624,0.1695287787379844,-0.0717686471346209,0.0552825080531601,0.0307604438642368,0.1431904488703187,-0.0692733189106758,0.1562683896017176,-0.0060354781148026,-0.1136680613668092,0.152581898559099,0.0358416360029952,0.1329617671176746,0.0630354811169326,0.0735444560743823,0.1507250093248961,0.1051476923608249
amphotericinb,0.0834014655502143,-0.0536115020547644,0.0592747793270032,-0.1124255527453799,0.0439232980992461,-0.1178291568035317,-0.0848449941906466,0.0757582296179925,0.0505224019334284,0.1614451603766195,0.1267644107030069,0.0227119135593185,-0.2609153717648382,-0.1053460935566302,0.0692741593170703,0.063462837204052,-0.0216701400314153,-0.1527217326854882,0.0782424295060916,0.0436153013245704,0.0482119562772659,-0.0050664987330049,-0.018813913190315,-0.1060282683441469,-0.0421533331501226,0.1900314232026123,0.0903511664331066,-0.1321858903836951,0.0144243024005462,-0.0640787930651919,0.0943662787331465,0.0507161091403406,-0.110845217369385,-0.0726865959822341,0.2143812163704619,0.1206968049981044,0.0068436675461762,0.0458154606490116,0.053443706800004,0.0798782508901194,0.2100585433917976,0.0533163057042792,-0.2223726310607163,0.2042841652359775,-0.0375021699350819,-0.104271730217296,0.0257526868220401,-0.0282909288106017,0.23019395747856,0.0087480354699613
aspirin,0.2564607944804132,-0.1109444166813629,-0.0427667419349854,-0.252345598433573,-0.0768698224154741,-0.1826830462819278,-0.0176214570534886,0.0132718233760803,-0.1566201896263359,-0.1770771082631693,-0.1046045656150154,0.0633772821310851,0.0234159663983151,-0.0928471248246748,0.0083601377163564,0.0012325066596628,0.319750648970853,0.0300584699003373,-0.0431865554976645,0.1242157255373326,0.0303630066123842,-0.0357053963684367,-0.1146076600840461,0.0315637942486419,-0.0699181331550111,-0.0896952817824529,-0.0178143805127333,-0.0841012898048925,-0.1085616181608332,-0.1278263763430564,-0.0274897226564786,0.2891995159632421,0.3075100404130695,-0.0454327952250198,-0.2095581281591139,0.4775684264565779,0.0452904195736359,-0.1335182767623934,0.1408108624976103,-0.0015004793692963,-0.1461006461006796,0.1296898872211529,-0.0045532857494495,-0.1302244434094971,0.0597792215553529,-0.1366518040180354,-0.12841565387704,0.0815545062304355,-0.0695589332338688,0.0093496278186946
azathioprine,-0.1124276979642849,-0.1603738939830241,-0.0357626442861984,-0.1220119115607612,0.0476234666101072,-0.0152273283813737,-0.058337635518827,-0.114204829883877,-0.0580516824688811,-0.0480252071089617,-0.0754417096977765,-0.1071743909355018,-0.3114788044649218,0.0266067156175298,0.0514931849266557,0.0003794131992603,-0.142784541698721,-0.2634411773215408,-0.0308769034798244,0.0606653910618888,-0.0286551812034264,0.0900574273162082,-0.0573268575003585,-0.0843068687974047,-0.0408387610960027,-0.2807017717000402,-0.218049315802616,0.1751534069310771,-0.0413611623408806,-0.0262875978574314,-0.1734178681026628,-0.3611419620065168,-0.2706669096896052,0.0024764735017354,0.2049339638023933,-0.1571947646189062,0.0212154199783094,0.3149454494591826,-0.1823047291205561,-0.113873375223219,-0.1256407923074509,-0.1268966562867606,0.0523422758224783,0.0386693960394,0.0503424940166627,-0.0908517835178187,0.024646569907595,-0.0501075110944774,0.1128893136889214,-0.0695568365645645
