drug_key,y_hard,OR,score,score_sig_only,lambda,model
acarbose,1,0,-1.0508106145027896,-0.7403771373123109,1.25,GSVA_topk10+OR_nested
acetaminophen,1,1,2.852683192321491,1.12637117142128,1.25,GSVA_topk10+OR_nested
acetazolamide,1,0,-1.207045437883797,-0.849570705091393,1.25,GSVA_topk10+OR_nested
adapin,1,1,0.019521718588292103,-0.8680608960633597,1.25,GSVA_topk10+OR_nested
allopurinol,1,0,-1.229786501425709,-0.9144146750383533,1.5,GSVA_topk10+OR_nested
amiodarone,1,1,1.4386978251064282,0.13330345265150764,1.25,GSVA_topk10+OR_nested
amitriptyline,1,1,0.8841716509853794,-0.2583332754200615,1.25,GSVA_topk10+OR_nested
amphotericinb,1,0,0.28924933504571054,0.20431030796876354,1.5,GSVA_topk10+OR_nested
aspirin,1,1,1.952617723833901,0.4952172463601996,1.25,GSVA_topk10+OR_nested
azathioprine,1,1,0.44773283599805946,-0.5661621760750881,1.25,GSVA_topk10+OR_nested
bendazac,1,1,2.201782645988286,0.671229558422825,1.25,GSVA_topk10+OR_nested
benzbromarone,1,1,2.284804461444762,0.7303135551992692,1.25,GSVA_topk10+OR_nested
benziodarone,1,1,0.8922561299023413,-0.25280215483135815,1.25,GSVA_topk10+OR_nested
bortezomib,1,1,3.004750011735581,1.2307575235244412,1.25,GSVA_topk10+OR_nested
caffeine,0,0,-1.4651079787679395,-1.0629649922194413,2.0,GSVA_topk10+OR_nested
captopril,1,0,-0.5387026623899582,-0.380135709452673,1.25,GSVA_topk10+OR_nested
carbamazepine,1,1,3.2420743210594813,1.3943459169244359,1.25,GSVA_topk10+OR_nested
carbontetrachloride,1,1,2.823797222541023,1.1065307762356615,1.25,GSVA_topk10+OR_nested
carboplatin,1,0,-0.0026124307418281963,-0.0018452588826148753,1.25,GSVA_topk10+OR_nested
chlormezanone,1,1,3.045747006281295,1.2595068278738826,1.25,GSVA_topk10+OR_nested
chlorpheniramine,0,0,-1.2672688192102997,-0.9754137553644948,2.0,GSVA_topk10+OR_nested
chlorpromazine,1,1,0.6768719051641123,-0.40397012634263146,1.25,GSVA_topk10+OR_nested
chlorpropamide,1,1,0.772609684568133,-0.3371363566136855,1.25,GSVA_topk10+OR_nested
cimetidine,1,1,0.9485306002136642,-0.21280584987459977,1.25,GSVA_topk10+OR_nested
ciprofloxacin,1,0,-0.4290860195071166,-0.3028658421537803,1.25,GSVA_topk10+OR_nested
cisplatin,1,0,-0.5606858140507197,-0.3953281133024649,1.25,GSVA_topk10+OR_nested
clofibrate,1,1,2.6467100224655367,0.982457936000795,1.25,GSVA_topk10+OR_nested
clomipramine,1,1,0.8169513906239133,-0.30558530736027667,1.25,GSVA_topk10+OR_nested
cyclophosphamide,1,0,-0.6005216289917462,-0.423633844145151,1.25,GSVA_topk10+OR_nested
cyclosporinea,1,0,0.5189099950154075,0.36688578474361744,2.0,GSVA_topk10+OR_nested
danazol,1,1,3.8706398339643284,1.6535225180597688,1.5,GSVA_topk10+OR_nested
dantrolene,1,1,2.289547504143261,0.7344695102839884,1.25,GSVA_topk10+OR_nested
diazepam,1,1,1.6713983892233364,0.2978910262280377,1.25,GSVA_topk10+OR_nested
diclofenac,1,0,-0.2835787092453842,-0.20057235422770425,1.25,GSVA_topk10+OR_nested
diltiazem,1,1,1.9499601442310124,0.49417304510928395,1.25,GSVA_topk10+OR_nested
disopyramide,1,0,0.27845082220885675,0.19718843333152244,1.5,GSVA_topk10+OR_nested
disulfiram,1,1,2.141531312720641,0.6292437786435767,1.25,GSVA_topk10+OR_nested
doxorubicin,1,0,-0.7298737941981173,-0.5150460841094093,1.25,GSVA_topk10+OR_nested
enalapril,1,1,1.4982317740234028,0.17517228219685946,1.25,GSVA_topk10+OR_nested
ethambutol,1,1,3.3370740249324973,1.4581342891470388,1.25,GSVA_topk10+OR_nested
ethanol,1,1,-0.48404263575541306,-1.043546792543984,1.0,GSVA_topk10+OR_nested
ethionamide,1,1,3.1610073514929473,1.3399463377648262,1.25,GSVA_topk10+OR_nested
etoposide,1,0,-1.8292860138997535,-1.2860114873424666,1.25,GSVA_topk10+OR_nested
famotidine,1,0,-1.5093924128384733,-1.0612518837085083,1.25,GSVA_topk10+OR_nested
fenofibrate,1,1,2.9129204121813626,1.1681204321125562,1.25,GSVA_topk10+OR_nested
fluphenazine,0,0,-1.283682292351724,-0.9055952489542551,2.0,GSVA_topk10+OR_nested
flutamide,1,1,3.3326421528211307,1.4602876330589547,1.25,GSVA_topk10+OR_nested
gefitinib,1,1,1.2743450129293512,0.017219146510089,1.25,GSVA_topk10+OR_nested
gemfibrozil,1,1,2.534797755833404,0.9048834487074963,1.25,GSVA_topk10+OR_nested
gentamicin,0,0,-1.2746527732120598,-0.8626334237783748,1.5,GSVA_topk10+OR_nested
glibenclamide,1,0,-0.4571596819810483,-0.32242866709636964,1.25,GSVA_topk10+OR_nested
griseofulvin,1,1,1.8269187386539745,0.4068394208087204,1.25,GSVA_topk10+OR_nested
haloperidol,1,0,-0.25939608727513125,-0.18300298707441653,1.25,GSVA_topk10+OR_nested
hexachlorobenzene,1,1,1.0938136439874775,-0.11020952203030734,1.25,GSVA_topk10+OR_nested
hydroxyzine,0,1,0.8239764359578189,-0.4987365198629393,1.5,GSVA_topk10+OR_nested
ibuprofen,1,1,0.6682173767531444,-0.4104932618129464,1.25,GSVA_topk10+OR_nested
imatinibmethanesulfonatesalt,1,0,-0.12797675713629067,-0.09048715565940994,1.25,GSVA_topk10+OR_nested
imipramine,1,1,0.5033595231013415,-0.5266845848695201,1.25,GSVA_topk10+OR_nested
indomethacin,1,1,1.6109361771180466,0.2551946887399933,1.25,GSVA_topk10+OR_nested
iproniazid,1,1,0.22726016602321297,-0.9469962010618639,1.5,GSVA_topk10+OR_nested
isoniazid,1,1,0.38829667900830045,-0.6092353293717119,1.25,GSVA_topk10+OR_nested
ketoconazole,1,1,0.9041063820119668,-0.44483847806025345,1.5,GSVA_topk10+OR_nested
labetalol,1,0,-0.8353858198719112,-0.5884052662166981,1.25,GSVA_topk10+OR_nested
lomustine,1,1,1.1878287948627058,-0.044002257048268725,1.25,GSVA_topk10+OR_nested
mefenamicacid,1,1,0.7018379877484683,-0.3877362672092582,1.25,GSVA_topk10+OR_nested
meloxicam,1,1,1.04400792189594,-0.1459289879550279,1.25,GSVA_topk10+OR_nested
metformin,1,1,1.4944784478169053,0.17283936146194107,1.25,GSVA_topk10+OR_nested
methimazole,1,1,2.5983618732614473,0.9508320083518058,1.25,GSVA_topk10+OR_nested
methyldopa,1,0,-1.1850046794020606,-0.8333287228096096,1.25,GSVA_topk10+OR_nested
methyltestosterone,1,1,3.1942453734870258,1.3592129311101349,1.25,GSVA_topk10+OR_nested
mexiletine,1,0,-0.948862787070163,-0.6687385516660977,1.25,GSVA_topk10+OR_nested
moxisylyte,1,1,2.0013629305408873,0.5299566842018686,1.25,GSVA_topk10+OR_nested
naproxen,1,1,1.1937087647731734,-0.03980973911707701,1.25,GSVA_topk10+OR_nested
nicotinicacid,1,1,0.3978913916732928,-0.6004761697722957,1.25,GSVA_topk10+OR_nested
nifedipine,1,1,1.9253990735603566,0.47645040446701614,1.25,GSVA_topk10+OR_nested
nimesulide,1,1,1.3371401506702798,0.06155709993074424,1.25,GSVA_topk10+OR_nested
nitrofurantoin,1,0,-1.387974873909665,-0.9754679591421545,1.25,GSVA_topk10+OR_nested
omeprazole,1,1,1.9051276463317528,0.46285124541012,1.25,GSVA_topk10+OR_nested
papaverine,1,1,0.7027856914511788,-0.3865593634118567,1.25,GSVA_topk10+OR_nested
pemoline,1,0,-0.6759100807892369,-0.4771295403661515,1.25,GSVA_topk10+OR_nested
penicillamine,1,0,-0.804699711868643,-0.5674753647231219,1.25,GSVA_topk10+OR_nested
perhexiline,1,0,-0.7600535527622894,-0.536365047191489,1.25,GSVA_topk10+OR_nested
phenobarbital,1,1,1.2926647627347467,0.030137220218940976,1.25,GSVA_topk10+OR_nested
phenytoin,1,1,1.3712228804005417,0.0855367219670394,1.25,GSVA_topk10+OR_nested
propranolol,0,0,0.1280195186912437,0.09987197806618617,1.25,GSVA_topk10+OR_nested
propylthiouracil,1,1,1.4404669091782438,0.13450607232601416,1.25,GSVA_topk10+OR_nested
quinidine,1,1,0.4321408785037918,-0.5765038124070496,1.25,GSVA_topk10+OR_nested
ranitidine,1,0,-0.553780148550181,-0.3907138688076734,1.25,GSVA_topk10+OR_nested
rifampicin,1,1,1.2564242356774142,0.004534308398937936,1.25,GSVA_topk10+OR_nested
simvastatin,1,1,3.086610438129663,1.2876706242779226,1.25,GSVA_topk10+OR_nested
sulfasalazine,1,1,0.0507247059624214,-0.8431372441368868,1.25,GSVA_topk10+OR_nested
sulindac,1,1,1.9464113444857971,0.4917138111808702,1.25,GSVA_topk10+OR_nested
tamoxifen,1,1,2.129490103975622,0.6202993804076079,1.25,GSVA_topk10+OR_nested
terbinafine,1,1,2.2347291885353573,0.6957945694343112,1.25,GSVA_topk10+OR_nested
tetracycline,1,1,0.5401007294467324,-0.5007919175087074,1.25,GSVA_topk10+OR_nested
theophylline,0,0,0.7335112902283023,0.5478068228881317,0.25,GSVA_topk10+OR_nested
thioridazine,1,1,1.119092036827281,-0.09252740009537279,1.25,GSVA_topk10+OR_nested
ticlopidine,1,1,3.2115320783412353,1.3741081945861635,1.25,GSVA_topk10+OR_nested
tolbutamide,1,1,0.7308356885917869,-0.36616691460168516,1.25,GSVA_topk10+OR_nested
triamterene,1,0,-1.2606498663665684,-0.8861012265112901,1.25,GSVA_topk10+OR_nested
valproicacid,1,0,-0.33974601267222393,-0.24007719389576776,1.25,GSVA_topk10+OR_nested
vitamina,1,1,1.6302662665323298,0.26865286512898334,1.25,GSVA_topk10+OR_nested
