feature_set,algorithm,posthoc_acc,posthoc_balanced_acc,majority_baseline,acc_above_majority,max_cluster_safe_fraction,expected_safe_frac_if_random
GSVA,agglo,0.9313725490196079,0.5,0.9313725490196079,0.0,0.09210526315789473,0.06862745098039216
GSVA,kmeans,0.9313725490196079,0.5,0.9313725490196079,0.0,0.08571428571428572,0.06862745098039216
Mean,agglo,0.9313725490196079,0.5,0.9313725490196079,0.0,0.06930693069306931,0.06862745098039216
Mean,kmeans,0.9313725490196079,0.5,0.9313725490196079,0.0,0.06930693069306931,0.06862745098039216
Median,agglo,0.9313725490196079,0.5,0.9313725490196079,0.0,0.06930693069306931,0.06862745098039216
Median,kmeans,0.9313725490196079,0.5,0.9313725490196079,0.0,0.06930693069306931,0.06862745098039216
STACKED,agglo,0.9313725490196079,0.5,0.9313725490196079,0.0,0.09333333333333334,0.06862745098039216
STACKED,kmeans,0.9313725490196079,0.5,0.9313725490196079,0.0,0.078125,0.06862745098039216
Z,agglo,0.9313725490196079,0.5,0.9313725490196079,0.0,0.09090909090909091,0.06862745098039216
Z,kmeans,0.9313725490196079,0.5,0.9313725490196079,0.0,0.07352941176470588,0.06862745098039216
ssGSEA,agglo,0.9313725490196079,0.5,0.9313725490196079,0.0,0.08,0.06862745098039216
ssGSEA,kmeans,0.9313725490196079,0.5,0.9313725490196079,0.0,0.09803921568627451,0.06862745098039216
