feature_set,algorithm,cluster,n,n_toxic,n_safe,frac_toxic,odds_ratio,fisher_p
GSVA,kmeans,0,70,64,6,0.9142857142857143,0.34408602150537637,0.4286608042247524
GSVA,kmeans,1,32,31,1,0.96875,2.90625,0.4286608042247523
GSVA,agglo,0,76,69,7,0.9078947368421053,0.0,0.18643046622950432
GSVA,agglo,1,26,26,0,1.0,inf,0.18643046622950435
ssGSEA,kmeans,0,51,49,2,0.9607843137254902,2.6630434782608696,0.43638049371947496
ssGSEA,kmeans,1,51,46,5,0.9019607843137255,0.37551020408163266,0.43638049371947496
ssGSEA,agglo,0,77,72,5,0.935064935064935,1.2521739130434784,1.0
ssGSEA,agglo,1,25,23,2,0.92,0.7986111111111112,1.0
Mean,kmeans,0,101,94,7,0.9306930693069307,0.0,1.0
Mean,kmeans,1,1,1,0,1.0,inf,1.0
Mean,agglo,0,101,94,7,0.9306930693069307,0.0,1.0
Mean,agglo,1,1,1,0,1.0,inf,1.0
Median,kmeans,0,101,94,7,0.9306930693069307,0.0,1.0
Median,kmeans,1,1,1,0,1.0,inf,1.0
Median,agglo,0,101,94,7,0.9306930693069307,0.0,1.0
Median,agglo,1,1,1,0,1.0,inf,1.0
Z,kmeans,0,34,32,2,0.9411764705882353,1.2698412698412698,1.0
Z,kmeans,1,68,63,5,0.9264705882352942,0.7875,1.0
Z,agglo,0,69,65,4,0.9420289855072463,1.625,0.6786727715481413
Z,agglo,1,33,30,3,0.9090909090909091,0.6153846153846154,0.6786727715481415
STACKED,kmeans,0,38,36,2,0.9473684210526315,1.5254237288135593,1.0
STACKED,kmeans,1,64,59,5,0.921875,0.6555555555555556,1.0
STACKED,agglo,0,75,68,7,0.9066666666666666,0.0,0.18503367110946564
STACKED,agglo,1,27,27,0,1.0,inf,0.18503367110946567
GSVA,hierarchical_ward,0,26,23,3,0.8846153846153846,0.42592592592592593,0.36706313358529824
GSVA,hierarchical_ward,1,76,72,4,0.9473684210526315,2.347826086956522,0.3670631335852982
