drug_key,y_hard,OR
acarbose,1,0
acetaminophen,1,1
acetazolamide,1,0
adapin,1,1
allopurinol,1,0
amiodarone,1,1
amitriptyline,1,1
amphotericinb,1,0
aspirin,1,1
azathioprine,1,1
bendazac,1,1
benzbromarone,1,1
benziodarone,1,1
bortezomib,1,1
caffeine,0,0
captopril,1,0
carbamazepine,1,1
carbontetrachloride,1,1
carboplatin,1,0
chlormezanone,1,1
chlorpheniramine,0,0
chlorpromazine,1,1
chlorpropamide,1,1
cimetidine,1,1
ciprofloxacin,1,0
cisplatin,1,0
clofibrate,1,1
clomipramine,1,1
cyclophosphamide,1,0
cyclosporinea,1,0
danazol,1,1
dantrolene,1,1
diazepam,1,1
diclofenac,1,0
diltiazem,1,1
disopyramide,1,0
disulfiram,1,1
doxorubicin,1,0
enalapril,1,1
ethambutol,1,1
ethanol,1,1
ethionamide,1,1
etoposide,1,0
famotidine,1,0
fenofibrate,1,1
fluphenazine,0,0
flutamide,1,1
gefitinib,1,1
gemfibrozil,1,1
gentamicin,0,0
glibenclamide,1,0
griseofulvin,1,1
haloperidol,1,0
hydroxyzine,0,1
ibuprofen,1,1
imatinibmethanesulfonatesalt,1,0
imipramine,1,1
indomethacin,1,1
iproniazid,1,1
isoniazid,1,1
ketoconazole,1,1
labetalol,1,0
lomustine,1,1
mefenamicacid,1,1
meloxicam,1,1
metformin,1,1
methimazole,1,1
methyldopa,1,0
methyltestosterone,1,1
mexiletine,1,0
moxisylyte,1,1
naproxen,1,1
nicotinicacid,1,1
nifedipine,1,1
nimesulide,1,1
nitrofurantoin,1,0
omeprazole,1,1
papaverine,1,1
pemoline,1,0
penicillamine,1,0
perhexiline,1,0
phenobarbital,1,1
phenytoin,1,1
propranolol,0,0
propylthiouracil,1,1
quinidine,1,1
ranitidine,1,0
rifampicin,1,1
simvastatin,1,1
sulfasalazine,1,1
sulindac,1,1
tamoxifen,1,1
terbinafine,1,1
tetracycline,1,1
theophylline,0,0
thioridazine,1,1
ticlopidine,1,1
tolbutamide,1,1
triamterene,1,0
valproicacid,1,0
vitamina,1,1
