drug_key,y_hard,OR,PC1,PC2,kmeans,agglo
acarbose,1,0,5.96275703600835,-0.6544427201515999,0,0
acetaminophen,1,1,-8.192889945225092,0.4454336789444,1,1
acetazolamide,1,0,2.4028502728177097,-3.1671619223816503,0,0
adapin,1,1,3.4040313518669025,-1.681154578996231,0,0
allopurinol,1,0,7.676700671323344,1.8852132506834147,0,0
amiodarone,1,1,-0.38286510578533517,2.8541489641799807,0,0
amitriptyline,1,1,-0.06326057179730178,0.8296657669952755,0,0
amphotericinb,1,0,0.6968136518455889,1.3458215362047845,0,0
aspirin,1,1,-4.179974107821766,-0.1420052986485542,1,1
azathioprine,1,1,1.4928440268001133,-3.6982277416442457,0,0
bendazac,1,1,-5.4624798074073135,-0.5519599547016759,1,1
benzbromarone,1,1,-5.215563945417344,-0.8986424031773554,1,1
benziodarone,1,1,-2.8970290292472076,-4.711589482665384,1,0
bortezomib,1,1,0.6917418988649503,7.280227405046433,0,0
caffeine,0,0,1.7381824430940453,-6.566196654506526,0,0
captopril,1,0,1.9640540429798805,-2.005611012372545,0,0
carbamazepine,1,1,-5.600797916356221,2.7252951656735807,1,1
carbontetrachloride,1,1,0.032676905839535135,7.55834325063897,0,0
carboplatin,1,0,2.8136034373013223,2.555865194465535,0,0
chlormezanone,1,1,-7.222119834734743,3.715108479689494,1,1
chlorpheniramine,0,0,6.35822574947396,-0.4719959369332504,0,0
chlorpromazine,1,1,1.1192006496727451,-1.4911958803833192,0,0
chlorpropamide,1,1,-2.152891207821399,-2.964319195097347,1,0
cimetidine,1,1,4.705059799987592,0.7833515239193883,0,0
ciprofloxacin,1,0,2.9645435787165586,0.03634283218437218,0,0
cisplatin,1,0,-0.18725320496196804,-3.1440150088763907,0,0
clofibrate,1,1,-5.558474940577416,0.05303270692122329,1,1
clomipramine,1,1,3.9605220217925043,1.7604259023901816,0,0
cyclophosphamide,1,0,1.5195696356282493,-1.35878477823167,0,0
cyclosporinea,1,0,-0.495940709810368,1.4252332030177504,0,0
danazol,1,1,-8.16816466505798,2.306710803409789,1,1
dantrolene,1,1,-8.198880743198181,-0.778510964430244,1,1
diazepam,1,1,-6.703491816509531,-3.906547754163913,1,1
diclofenac,1,0,7.725299331105393,3.401361967073902,0,0
diltiazem,1,1,-1.815931833182693,3.389103597771989,1,1
disopyramide,1,0,-5.809617519831429,-2.801897477072569,1,1
disulfiram,1,1,-5.416284019304463,-0.635514517677745,1,1
doxorubicin,1,0,0.5414045548913105,-3.6348257062515583,0,0
enalapril,1,1,-0.5012246682218165,-0.12422155738398184,0,0
ethambutol,1,1,-6.376065642368867,4.024555818817423,1,1
ethanol,1,1,5.140580313558294,-3.9887937986815265,0,0
