drug_key,y_hard,OR,PC1,PC2,kmeans,agglo
acarbose,1,0,0.3225198538922423,3.0661938875092796,0,0
acetaminophen,1,1,-1.3583141784566304,-5.751396598244027,0,0
acetazolamide,1,0,-1.7797243328224788,1.358815289146074,0,0
adapin,1,1,-0.9416500983926943,4.5704086147669605,0,0
allopurinol,1,0,1.7763159519868092,5.312123426863974,0,0
amiodarone,1,1,-0.7911959035407431,1.202979399538543,0,0
amitriptyline,1,1,-0.76251964161908,0.9573401252487432,0,0
amphotericinb,1,0,-0.18073046667996548,2.7379567854582185,0,0
aspirin,1,1,-1.958310790877023,-1.6505041424409648,0,0
azathioprine,1,1,-1.470734282027697,1.1677761871715813,0,0
bendazac,1,1,-1.8517078927426558,-2.4545464088618236,0,0
benzbromarone,1,1,-3.6523448656909108,-3.775441370010259,0,0
benziodarone,1,1,-3.7723549156644847,-1.324619203495124,0,0
bortezomib,1,1,35.39792817146332,-7.573484136180956,1,1
caffeine,0,0,-4.046699324019566,2.116117458945592,0,0
captopril,1,0,-1.2773198049432166,2.090552657388811,0,0
carbamazepine,1,1,0.006586989774716069,-3.446909394551328,0,0
carbontetrachloride,1,1,5.924877264937686,-1.2974772403922912,0,0
carboplatin,1,0,0.35502662957380665,0.7682368932077822,0,0
chlormezanone,1,1,-0.3430076388344027,-5.700104748560276,0,0
chlorpheniramine,0,0,-0.11769634752434167,3.1681189683183963,0,0
chlorpromazine,1,1,-1.6003081884186083,3.1252681661284516,0,0
chlorpropamide,1,1,-2.2894418710535316,0.07237942050992757,0,0
cimetidine,1,1,0.44361202323598914,2.1673939505955526,0,0
ciprofloxacin,1,0,-0.7474318933565519,1.801108723513835,0,0
cisplatin,1,0,-1.1468487809116008,0.45808548267732063,0,0
clofibrate,1,1,-3.4125450005318823,-4.009041814041574,0,0
clomipramine,1,1,0.9514667953509693,2.791610797096629,0,0
cyclophosphamide,1,0,-1.5284628093056083,0.683191427568622,0,0
cyclosporinea,1,0,-0.33076847228215495,0.1283021403342084,0,0
danazol,1,1,-1.6294695023753805,-6.033521199065775,0,0
dantrolene,1,1,-2.8809288002401874,-4.710588151154324,0,0
diazepam,1,1,-3.1413686048212885,-3.065289094183472,0,0
diclofenac,1,0,5.798679241483811,4.846920217840217,0,0
diltiazem,1,1,0.3502020983242197,-1.7968677289027515,0,0
disopyramide,1,0,-4.430134358593584,-3.064712851380192,0,0
disulfiram,1,1,-2.6700051622152317,-4.2752296906533225,0,0
doxorubicin,1,0,-0.5274202548775935,0.5723694713524173,0,0
enalapril,1,1,-0.9165462691666774,1.2653797022765705,0,0
ethambutol,1,1,3.1145522003355133,-8.090062500566939,0,0
ethanol,1,1,-1.377654096113627,3.1780345496418154,0,0
ethionamide,1,1,9.162440715062909,-10.81515591160451,0,0
etoposide,1,0,-1.941278344039372,3.6947545981139363,0,0
famotidine,1,0,0.023059715049953727,3.971879501353373,0,0
fenofibrate,1,1,-4.009525488795347,-6.816885843652153,0,0
fluphenazine,0,0,-2.555709252846377,2.6782468622590883,0,0
flutamide,1,1,-0.4719739556367,-7.484970192598966,0,0
gefitinib,1,1,2.0541898808809096,0.9492016682506896,0,0
gemfibrozil,1,1,-2.535600051828367,-4.457760163625671,0,0
gentamicin,0,0,-0.23891953204219069,3.886754990929131,0,0
glibenclamide,1,0,-0.5871942927341501,0.8913815254690407,0,0
griseofulvin,1,1,0.9151173425304734,0.5146778129762619,0,0
haloperidol,1,0,-0.6162906469719458,1.7793421570227002,0,0
hydroxyzine,0,1,-0.19246027650570402,0.590981034953945,0,0
ibuprofen,1,1,1.6399600960554586,3.487087020455011,0,0
imatinibmethanesulfonatesalt,1,0,2.283350024734722,1.124858470850413,0,0
imipramine,1,1,-0.5416563796744179,2.4171642632031887,0,0
indomethacin,1,1,9.03726964957588,4.98225302207723,0,0
iproniazid,1,1,-1.0673453618856439,2.9869552539150757,0,0
isoniazid,1,1,-1.9361924157668708,0.3480430369364534,0,0
ketoconazole,1,1,-2.200845143025779,-0.4159195188199706,0,0
labetalol,1,0,-0.9305544313824873,1.7738933456858654,0,0
lomustine,1,1,3.3604042340364764,3.759263923606325,0,0
mefenamicacid,1,1,4.150476263672957,4.175596949619869,0,0
meloxicam,1,1,8.777568246450656,6.755818434062433,0,0
metformin,1,1,0.07901695503726057,0.6727223448345236,0,0
methimazole,1,1,0.011176918537739972,-3.6163090523639836,0,0
methyldopa,1,0,-0.5618326778314092,3.2055572884256303,0,0
methyltestosterone,1,1,0.5981477525856196,-1.9715060440444478,0,0
mexiletine,1,0,-2.224682830606296,0.10758124402492811,0,0
moxisylyte,1,1,-0.9612709421972782,-1.022153159869934,0,0
naproxen,1,1,6.6126535253480245,5.291654660164861,0,0
nicotinicacid,1,1,-0.7775440303980324,1.6855753434552232,0,0
nifedipine,1,1,-0.48574373467040904,-2.7684471099104098,0,0
nimesulide,1,1,-2.122602066096147,-3.158860827463677,0,0
nitrofurantoin,1,0,-2.0950717613678265,1.9405324010679945,0,0
omeprazole,1,1,-1.4565289680818776,-5.2008486226140915,0,0
papaverine,1,1,-2.522903470569194,-0.38902387183790327,0,0
pemoline,1,0,0.7618661331970902,3.314761996278926,0,0
penicillamine,1,0,-0.2429687025834962,2.545930246067101,0,0
perhexiline,1,0,-2.393400869979363,0.6090551020447224,0,0
phenobarbital,1,1,-0.8141731270958289,-1.9011026579426396,0,0
phenytoin,1,1,-1.2627383093888798,-0.5133550705422081,0,0
propranolol,0,0,-1.5114678139470947,-0.3936659957179903,0,0
propylthiouracil,1,1,-1.305065071006435,-0.1453592514733168,0,0
quinidine,1,1,-2.9804149370549573,-0.6659818693175757,0,0
ranitidine,1,0,-0.9951100421472721,1.286212867394985,0,0
rifampicin,1,1,-0.6559007387562722,1.0484589396249728,0,0
simvastatin,1,1,-1.2753691487639605,-2.6252833613438105,0,0
sulfasalazine,1,1,-2.702559830718551,1.0701367782652034,0,0
sulindac,1,1,6.953454956078787,3.3463362864393806,0,0
tamoxifen,1,1,0.4111551320335407,0.9841066574378183,0,0
terbinafine,1,1,-4.6012128547263496,-7.151625923144041,0,0
tetracycline,1,1,-0.44591472232998774,2.9007885064545023,0,0
theophylline,0,0,-1.558742870828091,-0.9281776463863908,0,0
thioridazine,1,1,-0.9968486053149598,0.7622735316776459,0,0
ticlopidine,1,1,-0.8663948644572741,-7.903306653992548,0,0
tolbutamide,1,1,-1.5197847703640452,0.4118587985781121,0,0
triamterene,1,0,-0.011078529906624682,2.585929272802845,0,0
valproicacid,1,0,-2.1938671822034204,0.20483303844685233,0,0
vitamina,1,1,3.0273088333985063,4.016372102625853,0,0
