drug_key,y_hard,OR,PC1,PC2,kmeans,agglo
acarbose,1,0,4.814640343582942,-2.0861009938557507,0,1
acetaminophen,1,1,-6.625772595977936,3.879340961488573,1,0
acetazolamide,1,0,0.37950822080798624,-3.29728312953074,1,0
adapin,1,1,3.073525801206223,-3.7555003357547805,0,0
allopurinol,1,0,7.6035253203321655,-1.3395325709348458,0,1
amiodarone,1,1,0.3150266270572255,-0.9832397625740945,1,0
amitriptyline,1,1,0.12992992043246515,-0.6540393625999612,1,0
amphotericinb,1,0,1.5488995906993304,-1.2432405320466773,0,0
aspirin,1,1,-3.4098049364149405,-0.04923946576184346,1,0
azathioprine,1,1,0.7690764495652218,-1.849641809108809,1,0
bendazac,1,1,-4.118821058224691,0.3639171665254844,1,0
benzbromarone,1,1,-3.92692767034436,-0.2735572391169572,1,0
benziodarone,1,1,-2.9491015142167885,-2.360948185757514,1,0
bortezomib,1,1,6.641829500127775,7.963174516566093,0,1
caffeine,0,0,-0.07315941236186597,-6.040974196646885,1,0
captopril,1,0,0.06445865300635652,-3.968459142634209,1,0
carbamazepine,1,1,-4.515640467905309,4.393951841897587,1,0
carbontetrachloride,1,1,3.046766994398784,9.031457133569862,0,1
carboplatin,1,0,1.4790589829184377,0.9048106358623988,0,0
chlormezanone,1,1,-4.686166642577165,4.903407414844707,1,0
chlorpheniramine,0,0,5.115025203067738,-2.7518597935686318,0,1
chlorpromazine,1,1,0.5803551870960016,-3.7040694333600928,1,0
chlorpropamide,1,1,-3.334130437808947,-2.783991365526692,1,0
cimetidine,1,1,2.650962916724956,-0.09727793795656146,0,1
ciprofloxacin,1,0,0.9274118412113539,-2.3492515027367458,1,0
cisplatin,1,0,0.5696402091239082,-1.1844922069169752,1,0
clofibrate,1,1,-4.997651431779553,0.097132331535353,1,0
clomipramine,1,1,3.6766658488953943,-0.19948622174678554,0,1
cyclophosphamide,1,0,0.08546309333481872,-1.4560064509893162,1,0
cyclosporinea,1,0,-0.0024581958395109398,0.8625816569171686,1,0
danazol,1,1,-6.163501908293903,3.573052857180817,1,0
dantrolene,1,1,-7.285666382483949,1.17895951154988,1,0
diazepam,1,1,-7.308923312601792,-0.3918856941586485,1,0
diclofenac,1,0,10.018796191125709,3.397854160794976,0,1
diltiazem,1,1,-1.2371723196597704,4.169396415262658,1,1
disopyramide,1,0,-6.694585760125614,-1.8817551451825447,1,0
disulfiram,1,1,-4.6480931741039315,0.28508037535541303,1,0
doxorubicin,1,0,1.579506077841427,-0.36754321146883395,0,0
enalapril,1,1,-1.8896375947292086,-1.8829776119532666,1,0
ethambutol,1,1,-1.9993591301213531,5.633442756088726,1,1
ethanol,1,1,3.071665402646306,-5.473458873317547,0,0
ethionamide,1,1,0.41414054378957216,8.31979945303037,1,1
etoposide,1,0,3.1302483358777096,-6.416413637941378,0,0
famotidine,1,0,6.337127548196951,-3.716659031642309,0,1
fenofibrate,1,1,-3.6252958947919223,0.8924218079517059,1,0
fluphenazine,0,0,0.18617261770507576,-5.228136987755444,1,0
flutamide,1,1,-5.817952944270364,4.921216493599208,1,0
gefitinib,1,1,3.452986867112399,2.665585290111176,0,1
gemfibrozil,1,1,-4.124136958788358,1.1640885808646895,1,0
gentamicin,0,0,5.296595552119602,-3.603324535721704,0,1
glibenclamide,1,0,-1.394584134751785,0.4678787138893824,1,0
griseofulvin,1,1,-0.4424120252323332,3.366207861846549,1,1
haloperidol,1,0,-1.9085561155678337,-2.1119075542075345,1,0
hexachlorobenzene,1,1,1.748440511554251,1.4690282364476972,0,1
hydroxyzine,0,1,0.8388386512763049,0.8073005929247684,1,1
ibuprofen,1,1,4.293246409003398,-0.1156641947435196,0,1
imatinibmethanesulfonatesalt,1,0,3.4816379605003602,2.7488972566230463,0,1
imipramine,1,1,2.057121446994075,-2.1723796673822027,0,0
indomethacin,1,1,9.012032321737937,4.365316579956101,0,1
iproniazid,1,1,2.2558645444257612,-2.8325797352460853,0,1
isoniazid,1,1,-0.5716686227412843,-1.9791666430993287,1,0
ketoconazole,1,1,-3.402984697527685,-1.368102293921036,1,0
labetalol,1,0,-1.1790707626547205,-2.9260716376818263,1,0
lomustine,1,1,7.864231788373921,2.7575760010155816,0,1
mefenamicacid,1,1,8.451391215446064,2.898277357837117,0,1
meloxicam,1,1,10.375915586967821,3.9712363954713723,0,1
metformin,1,1,1.5244312331512142,2.2715357817493733,0,1
methimazole,1,1,-4.017537144486768,2.38675166527912,1,0
methyldopa,1,0,0.7739248732054098,-3.827789362254513,1,0
methyltestosterone,1,1,-2.246773348106965,3.5472754357034426,1,1
mexiletine,1,0,-0.8090378647439849,-1.807090531987012,1,0
moxisylyte,1,1,-3.9912545447115972,1.103352773285557,1,0
naproxen,1,1,8.17573779386794,2.225171995540112,0,1
nicotinicacid,1,1,1.5156387908909874,-2.104219037263239,0,0
nifedipine,1,1,-2.8148030698660005,2.7511136556337177,1,0
nimesulide,1,1,-3.3752636125387085,0.353689725399639,1,0
nitrofurantoin,1,0,0.1384274616986875,-5.4871186606828655,1,0
omeprazole,1,1,-3.72358772811574,2.14761861953032,1,0
papaverine,1,1,-2.9308728336483116,-1.496499069720753,1,0
pemoline,1,0,6.399412328803999,-1.091123221272582,0,1
penicillamine,1,0,2.6383015522573583,-1.7516883919223376,0,1
perhexiline,1,0,-1.6736769846157742,-2.9756424623625017,1,0
phenobarbital,1,1,-1.7724099397834094,1.0460569471641181,1,0
phenytoin,1,1,-2.6833125744719584,0.19908857005306588,1,0
propranolol,0,0,-3.5001206207657214,-0.11021248121525827,1,0
propylthiouracil,1,1,-1.288557834559495,-1.294670969181327,1,0
quinidine,1,1,-3.5536690743406445,-1.6666990212382662,1,0
ranitidine,1,0,-1.135912693208832,-1.408713049027725,1,0
rifampicin,1,1,-0.15358074727025264,-0.7198640037815837,1,0
simvastatin,1,1,-3.9051417904995964,1.8215883247185636,1,0
sulfasalazine,1,1,-1.2288824153384532,-3.709036215034607,1,0
sulindac,1,1,7.482206709873756,5.463447600703222,0,1
tamoxifen,1,1,-0.311261258920949,1.0740810821592668,1,1
terbinafine,1,1,-7.022054472040172,0.8161133764291313,1,0
tetracycline,1,1,0.6282816796911029,-2.833471229856046,1,0
theophylline,0,0,-1.4157003746904409,0.19529415731910243,1,0
thioridazine,1,1,-1.9701164466998833,-0.6825646397500386,1,0
ticlopidine,1,1,-5.985700503035495,4.7080749672961995,1,0
tolbutamide,1,1,-2.427186026314859,-1.6181505932086215,1,0
triamterene,1,0,3.0937964037954298,-2.0075053596913714,0,1
valproicacid,1,0,-2.510818281981696,-2.1379282763840597,1,0
vitamina,1,1,5.072579183132981,0.06355963541036302,0,1
