drug_key,y_hard,OR,PC1,PC2,kmeans,agglo
acarbose,1,0,5.81378916600448,-1.8611443089148036,1,1
acetaminophen,1,1,-7.362803069769841,1.9223191284044725,0,0
acetazolamide,1,0,1.4074290066235906,-3.1328184091129057,1,0
adapin,1,1,3.8341979551240133,-3.0208419094556556,1,0
allopurinol,1,0,7.866313589759988,0.05232255601588073,1,1
amiodarone,1,1,-0.42409932666697786,1.4568427933857078,0,0
amitriptyline,1,1,-0.686754111902527,0.33969547186960203,0,0
amphotericinb,1,0,1.5893092874501562,0.4536140046356833,1,0
aspirin,1,1,-3.4597123125730893,-0.5339796212858224,0,0
azathioprine,1,1,1.4140278970300437,-2.6272314831656485,1,0
bendazac,1,1,-4.5753344674202765,-0.1942787218090166,0,0
benzbromarone,1,1,-4.832279052609006,-0.5900413135744206,0,0
benziodarone,1,1,-2.578884908087523,-3.6454716807163035,0,0
bortezomib,1,1,4.769577136080347,8.322660845980757,1,1
caffeine,0,0,1.9427674087808173,-5.906212889387918,1,0
captopril,1,0,0.939021118411648,-2.731901423289008,1,0
carbamazepine,1,1,-5.9067451443949786,2.7684247196782734,0,0
carbontetrachloride,1,1,0.6043361580531146,8.437958322933493,0,0
carboplatin,1,0,2.091228911651312,1.7469074810267824,1,1
chlormezanone,1,1,-6.4372358652098605,3.948709543590856,0,0
chlorpheniramine,0,0,5.883542473566886,-1.5535362647350248,1,1
chlorpromazine,1,1,1.9417270357420637,-2.8017284409684944,1,0
chlorpropamide,1,1,-3.19725080502512,-2.8381757019925185,0,0
cimetidine,1,1,3.419255511702836,-0.15129966460194413,1,1
ciprofloxacin,1,0,1.6691031104300302,-1.414396387166714,1,0
cisplatin,1,0,0.28693529541706714,-1.5482807692613845,1,0
clofibrate,1,1,-5.6155240604501095,-0.1930052037591643,0,0
clomipramine,1,1,3.1914793134585597,1.5396806194467414,1,1
cyclophosphamide,1,0,0.4169892186276721,-1.5868598618779524,1,0
cyclosporinea,1,0,-0.39572048092364304,0.8428629172183154,0,0
danazol,1,1,-7.870121523774466,3.120737090003097,0,0
dantrolene,1,1,-7.694253018175404,-0.27220442670482775,0,0
diazepam,1,1,-6.813762295532746,-1.6801899475062216,0,0
diclofenac,1,0,9.369169166410451,4.12358728309149,1,1
diltiazem,1,1,-2.159183390391568,3.4472573430370765,0,0
disopyramide,1,0,-5.2480059069818745,-1.7131204716301967,0,0
disulfiram,1,1,-4.076497345265403,0.1742314474768211,0,0
doxorubicin,1,0,1.6170889249974663,-2.0012881931053523,1,0
enalapril,1,1,-1.3989131779784456,-1.1416942837808324,0,0
ethambutol,1,1,-4.749162052459642,4.551963404125595,0,0
ethanol,1,1,4.34083257323057,-5.591879704720139,1,1
ethionamide,1,1,-2.35933328157169,5.629080237579562,0,0
etoposide,1,0,4.70922343254939,-6.400710462225306,1,1
famotidine,1,0,6.740243968419082,-2.7381894435978698,1,1
fenofibrate,1,1,-5.882666624294206,0.8316991189669882,0,0
fluphenazine,0,0,1.467042084047313,-5.114511749298481,1,0
flutamide,1,1,-7.150417881811318,3.7891647757953226,0,0
gefitinib,1,1,2.6510917867570516,2.6180246353069148,1,0
gemfibrozil,1,1,-5.852129714906751,0.33201711929294864,0,0
gentamicin,0,0,7.481852064433037,-2.44569348553365,1,1
glibenclamide,1,0,-0.7853778388781936,0.042434868932176295,0,0
griseofulvin,1,1,-0.9217951225564547,3.3775974018012476,0,0
haloperidol,1,0,-1.9079858571172004,-0.42029121884527704,0,0
hexachlorobenzene,1,1,1.8428631136739537,0.30754761753876947,1,1
hydroxyzine,0,1,0.5629899111376155,-0.2023660569550066,1,0
ibuprofen,1,1,5.790825907804251,0.41868979454896965,1,1
imatinibmethanesulfonatesalt,1,0,4.081214588630661,1.8438418996075479,1,1
imipramine,1,1,2.048698813550885,-0.49614950932456015,1,0
indomethacin,1,1,7.948592107483306,5.383130006462773,1,1
iproniazid,1,1,3.582648713797554,-1.969475819069969,1,0
isoniazid,1,1,-0.05629757746342394,-4.155519233512216,1,0
ketoconazole,1,1,-1.7996328850171697,-2.274575158919096,0,0
labetalol,1,0,-0.3045419733708954,-2.9382481352134158,1,0
lomustine,1,1,7.280943141834769,3.6110906377987084,1,1
mefenamicacid,1,1,9.404525223636822,3.2441000461293568,1,1
meloxicam,1,1,9.964637264993291,4.9658857099627784,1,1
metformin,1,1,1.8933637549889173,3.0234383844785904,1,1
methimazole,1,1,-4.44531447395669,2.0532917450214563,0,0
methyldopa,1,0,0.9053927559065433,-3.554046687906891,1,0
methyltestosterone,1,1,-4.421559585720215,4.403476138567656,0,0
mexiletine,1,0,0.6524004483834908,-2.4865031105149655,1,0
moxisylyte,1,1,-4.492868206734522,1.763574401448887,0,0
naproxen,1,1,7.770182567010516,3.257664543136633,1,1
nicotinicacid,1,1,2.9917136008267744,-2.237272748764587,1,0
nifedipine,1,1,-3.290510362013467,2.211632040834818,0,0
nimesulide,1,1,-3.244411049358092,-0.4564615547128762,0,0
nitrofurantoin,1,0,2.2544722838182647,-5.342020076845071,1,0
omeprazole,1,1,-4.095580531710439,-0.6126258944400182,0,0
papaverine,1,1,-2.618165681077908,-1.5829593746056823,0,0
pemoline,1,0,6.0011432233673485,1.4526459062543797,1,1
penicillamine,1,0,2.522365405967573,-0.7379057277496103,1,0
perhexiline,1,0,-0.9562735405036357,-2.799482813732711,0,0
phenobarbital,1,1,-2.396345649617674,-0.5004299092667247,0,0
phenytoin,1,1,-3.032190199672238,-0.33434192922214423,0,0
propranolol,0,0,-3.639643237014249,-1.624481606201083,0,0
propylthiouracil,1,1,-0.850693720913168,-1.9087206428803045,0,0
quinidine,1,1,-1.9167987117433005,-1.8082325272675834,0,0
ranitidine,1,0,-0.47988173452423805,-2.1472107231902484,0,0
rifampicin,1,1,-0.008202867651191634,0.26482607846877926,1,0
