drug_key,y_hard,OR,TSNE1,TSNE2,kmeans
acarbose,1,0,4.3225517,4.706915,0
acetaminophen,1,1,-3.6091678,-5.771425,1
acetazolamide,1,0,-1.3957279,4.0859046,0
adapin,1,1,1.6638261,2.083526,0
allopurinol,1,0,6.370733,5.0277743,0
amiodarone,1,1,3.6071615,-2.3502862,0
amitriptyline,1,1,4.8715777,-1.8614408,0
amphotericinb,1,0,3.0728168,-1.2257392,0
aspirin,1,1,-6.1985455,-4.5241313,1
azathioprine,1,1,-2.0415435,2.4497283,0
bendazac,1,1,-6.4020705,-5.086097,1
benzbromarone,1,1,-7.087033,-5.4691577,1
benziodarone,1,1,-5.9242682,-1.4982457,1
bortezomib,1,1,9.667565,1.7195857,0
caffeine,0,0,-2.4413583,3.419157,0
captopril,1,0,0.7527669,1.466373,0
carbamazepine,1,1,-4.4935455,-7.550623,1
carbontetrachloride,1,1,8.74888,0.89381886,0
carboplatin,1,0,6.46474,1.7138573,0
chlormezanone,1,1,-3.409773,-7.357766,1
chlorpheniramine,0,0,5.0202165,5.3164997,0
chlorpromazine,1,1,1.0240663,0.9583841,0
chlorpropamide,1,1,-2.4214487,-0.36094892,1
cimetidine,1,1,4.730118,3.6090598,0
ciprofloxacin,1,0,3.926517,2.3999484,0
cisplatin,1,0,-4.3566957,2.233261,0
clofibrate,1,1,-6.7105565,-5.8004346,1
clomipramine,1,1,5.8571863,2.8688767,0
cyclophosphamide,1,0,2.176888,0.6661758,0
cyclosporinea,1,0,-2.4933503,6.138937,0
danazol,1,1,-3.2961428,-6.5189185,1
dantrolene,1,1,-4.0254617,-5.0910745,1
diazepam,1,1,-5.080177,-3.344203,1
diclofenac,1,0,9.059158,4.670058,0
diltiazem,1,1,-0.7074512,-6.4638867,1
disopyramide,1,0,-2.7133102,-3.7369509,1
disulfiram,1,1,-4.4058137,-4.3823924,1
doxorubicin,1,0,-4.3578925,2.6777067,0
enalapril,1,1,1.5978457,-0.9169932,0
ethambutol,1,1,-2.8087373,-7.9410396,1
ethanol,1,1,1.3412553,5.7615542,0
ethionamide,1,1,-1.6411669,-7.755796,1
etoposide,1,0,0.4699759,5.7485385,0
famotidine,1,0,3.9537115,5.476078,0
fenofibrate,1,1,-6.326638,-6.2212133,1
fluphenazine,0,0,-0.44354293,3.2265723,0
flutamide,1,1,-3.98966,-7.1230965,1
gefitinib,1,1,6.441184,-0.604197,0
gemfibrozil,1,1,-6.592776,-6.5739155,1
gentamicin,0,0,3.3950355,5.9119973,0
glibenclamide,1,0,3.608932,1.2698269,0
griseofulvin,1,1,5.364705,0.66901314,0
haloperidol,1,0,2.7415507,-2.1812162,0
hydroxyzine,0,1,3.510428,0.75199604,0
ibuprofen,1,1,5.702566,4.39038,0
imatinibmethanesulfonatesalt,1,0,5.9514422,2.34297,0
imipramine,1,1,5.3665533,-1.2748535,0
indomethacin,1,1,9.662786,4.046912,0
iproniazid,1,1,2.5377345,3.002998,0
isoniazid,1,1,-3.3033834,2.9695406,0
ketoconazole,1,1,-0.7850194,-0.43994716,0
labetalol,1,0,-0.4703899,1.7193352,0
lomustine,1,1,7.900798,3.9771304,0
mefenamicacid,1,1,7.935317,5.3125434,0
meloxicam,1,1,8.55428,4.7564797,0
metformin,1,1,6.3391128,1.1719924,0
methimazole,1,1,-3.9961739,-8.170953,1
methyldopa,1,0,-0.51753867,2.6553762,0
methyltestosterone,1,1,-2.5005965,-7.7028074,1
mexiletine,1,0,-1.6603794,4.2162423,0
moxisylyte,1,1,1.8656814,-3.913775,1
naproxen,1,1,9.143563,4.1331844,0
nicotinicacid,1,1,2.047971,5.0915794,0
nifedipine,1,1,-1.4456757,-6.2332487,1
nimesulide,1,1,-3.5547018,-3.521078,1
nitrofurantoin,1,0,0.045365047,3.888524,0
omeprazole,1,1,-4.423725,-3.2302206,1
papaverine,1,1,-0.9803176,-1.3604683,0
pemoline,1,0,6.0882545,3.728941,0
penicillamine,1,0,3.0904684,3.508072,0
perhexiline,1,0,-2.0041332,1.8983024,0
phenobarbital,1,1,-4.13396,-1.4322832,1
phenytoin,1,1,-1.1985879,-2.404132,1
propranolol,0,0,-2.5361896,-1.206876,1
propylthiouracil,1,1,-3.785766,-0.4639219,0
quinidine,1,1,-0.4571655,-2.0718033,0
ranitidine,1,0,2.1873975,1.4493945,0
rifampicin,1,1,3.6728384,-1.267251,0
simvastatin,1,1,-6.0962863,-7.697349,1
sulfasalazine,1,1,0.3983404,0.062024597,0
sulindac,1,1,8.961536,3.013987,0
tamoxifen,1,1,3.105754,-3.1914217,0
terbinafine,1,1,-5.058433,-5.370509,1
tetracycline,1,1,3.1212106,2.1565857,0
theophylline,0,0,1.3143573,-3.9873195,0
thioridazine,1,1,2.4098594,-2.5875988,0
ticlopidine,1,1,-4.309866,-6.6328673,1
tolbutamide,1,1,-3.273567,0.5758677,0
triamterene,1,0,3.361824,4.887736,0
valproicacid,1,0,-3.9977586,0.4817871,0
vitamina,1,1,7.3991404,2.516471,0
