drug_key,y_hard,OR,TSNE1,TSNE2,kmeans
acarbose,1,0,0.59758663,2.1389167,0
acetaminophen,1,1,-6.117957,-3.5561812,0
acetazolamide,1,0,0.8717909,-3.7161558,0
adapin,1,1,3.6870687,3.5100584,0
allopurinol,1,0,2.6077077,2.2644548,0
amiodarone,1,1,-0.6870463,1.2150013,0
amitriptyline,1,1,2.5154922,-0.52057153,0
amphotericinb,1,0,3.123525,3.0265164,0
aspirin,1,1,-2.888506,-4.9175735,0
azathioprine,1,1,1.0296274,-2.270728,0
bendazac,1,1,-3.082635,-5.242493,0
benzbromarone,1,1,-3.1335483,-6.6744065,0
benziodarone,1,1,-2.807029,-6.183519,0
bortezomib,1,1,-0.9914794,-8.881548,1
caffeine,0,0,1.2964978,-4.059162,0
captopril,1,0,2.0326068,0.32016227,0
carbamazepine,1,1,-4.15834,-4.1325445,0
carbontetrachloride,1,1,-0.17279333,-7.30746,0
carboplatin,1,0,-0.7628079,-1.0720327,0
chlormezanone,1,1,-5.98962,-4.1961713,0
chlorpheniramine,0,0,1.545319,1.6080598,0
chlorpromazine,1,1,4.2828054,2.3735273,0
chlorpropamide,1,1,2.126818,-1.6178966,0
cimetidine,1,1,0.3764042,1.5887104,0
ciprofloxacin,1,0,0.977648,-0.71306264,0
cisplatin,1,0,1.6429693,-5.102988,0
clofibrate,1,1,-3.2168064,-6.723599,0
clomipramine,1,1,1.048709,2.2074325,0
cyclophosphamide,1,0,1.2986038,-1.9078591,0
cyclosporinea,1,0,3.3673046,-4.8668966,0
danazol,1,1,-5.5014505,-3.7258377,0
dantrolene,1,1,-5.4167566,-2.757899,0
diazepam,1,1,-3.3909988,-3.850228,0
diclofenac,1,0,-1.752002,5.5243073,0
diltiazem,1,1,-3.2029755,-2.1713293,0
disopyramide,1,0,-4.509552,-1.8307575,0
disulfiram,1,1,-6.0428567,-2.5584447,0
doxorubicin,1,0,1.7801499,-5.3455157,0
enalapril,1,1,1.0987164,0.2257664,0
ethambutol,1,1,-6.164368,-5.4748864,0
ethanol,1,1,4.1815214,-0.3281355,0
ethionamide,1,1,-6.2078714,-6.1255913,0
etoposide,1,0,4.6948857,-0.17419752,0
famotidine,1,0,1.7314191,2.0393417,0
fenofibrate,1,1,-3.3381033,-7.5777125,0
fluphenazine,0,0,4.1334853,-2.1402848,0
flutamide,1,1,-6.6379743,-4.2742724,0
gefitinib,1,1,2.4352775,4.8289075,0
gemfibrozil,1,1,-4.252024,-7.3076425,0
gentamicin,0,0,3.6740563,0.9731822,0
glibenclamide,1,0,-0.27097735,-0.4223508,0
griseofulvin,1,1,-1.8496388,0.67506325,0
haloperidol,1,0,1.3634776,3.7126448,0
hydroxyzine,0,1,-1.0740234,-0.28816018,0
ibuprofen,1,1,-0.300893,4.763406,0
imatinibmethanesulfonatesalt,1,0,-1.8132473,2.1195288,0
imipramine,1,1,2.6452072,-0.30942765,0
indomethacin,1,1,-2.1525092,5.862914,0
iproniazid,1,1,0.6036017,3.6350467,0
isoniazid,1,1,2.0475333,-3.5358734,0
ketoconazole,1,1,-1.166565,-3.9471402,0
labetalol,1,0,1.0625492,0.4334629,0
lomustine,1,1,-0.9379001,3.7821333,0
mefenamicacid,1,1,-1.1215323,5.05546,0
meloxicam,1,1,-2.384345,5.729145,0
metformin,1,1,0.39665055,-0.27796844,0
methimazole,1,1,-7.4143243,-2.9064355,0
methyldopa,1,0,1.2231787,3.5835588,0
methyltestosterone,1,1,-2.758125,-1.5385709,0
mexiletine,1,0,0.61738825,-3.978771,0
moxisylyte,1,1,-1.9186198,-2.1083403,0
naproxen,1,1,-2.0060534,6.0366354,0
nicotinicacid,1,1,0.4690825,-2.7296405,0
nifedipine,1,1,-3.4885952,-2.7048645,0
nimesulide,1,1,-5.191678,-2.2739146,0
nitrofurantoin,1,0,3.7117386,-2.4102266,0
omeprazole,1,1,-7.0893826,-3.599939,0
papaverine,1,1,-0.8820491,-3.295619,0
pemoline,1,0,2.2327821,1.3893831,0
penicillamine,1,0,2.1452978,0.83951044,0
perhexiline,1,0,0.15218535,-3.3153362,0
phenobarbital,1,1,-2.8003116,-3.3799112,0
phenytoin,1,1,-1.0348912,-2.3435302,0
propranolol,0,0,-0.48835564,-1.8631337,0
propylthiouracil,1,1,3.3645923,-2.9656522,0
quinidine,1,1,-1.2202383,-3.2489343,0
ranitidine,1,0,-0.08271953,-0.22874369,0
rifampicin,1,1,0.29083607,0.46738562,0
simvastatin,1,1,-4.3477726,-7.3079305,0
sulfasalazine,1,1,2.8639448,-1.7231367,0
sulindac,1,1,-1.8864691,5.1592593,0
tamoxifen,1,1,-0.5262793,2.3262684,0
terbinafine,1,1,-7.532551,-4.38196,0
tetracycline,1,1,1.9123374,3.9732637,0
theophylline,0,0,-1.6436803,-3.008916,0
thioridazine,1,1,-0.1524107,0.66620445,0
ticlopidine,1,1,-6.4661374,-4.4465427,0
tolbutamide,1,1,-0.03595057,-1.6599513,0
triamterene,1,0,1.3212951,1.2217377,0
valproicacid,1,0,-1.2005947,-5.1081786,0
vitamina,1,1,0.49036342,5.4007154,0
