drug_key,y_hard,OR,TSNE1,TSNE2,kmeans
acarbose,1,0,3.394307,-2.6328218,0
acetaminophen,1,1,-5.7056193,-1.3613306,0
acetazolamide,1,0,1.003766,-2.537364,0
adapin,1,1,4.4296956,0.7439499,0
allopurinol,1,0,5.093014,-3.0463264,0
amiodarone,1,1,-0.84503704,1.3199227,0
amitriptyline,1,1,-0.711359,-0.3355816,0
amphotericinb,1,0,4.093123,2.3510942,0
aspirin,1,1,-3.779358,-1.1798728,0
azathioprine,1,1,2.2594655,0.6924679,0
bendazac,1,1,-3.730037,-1.333102,0
benzbromarone,1,1,-5.77573,1.3113257,0
benziodarone,1,1,-2.7989688,-4.010919,0
bortezomib,1,1,-7.340395,-3.169592,1
caffeine,0,0,1.6137199,1.3638923,0
captopril,1,0,1.5372436,-1.2888193,0
carbamazepine,1,1,-4.9597807,0.15628578,0
carbontetrachloride,1,1,-6.9163055,-2.7176766,0
carboplatin,1,0,3.9952655,-2.0306838,0
chlormezanone,1,1,-6.121803,-0.561908,0
chlorpheniramine,0,0,2.8829718,-2.2214177,0
chlorpromazine,1,1,5.4212804,0.7012917,0
chlorpropamide,1,1,-1.2201953,-0.7825581,0
cimetidine,1,1,3.1403093,-2.1232412,0
ciprofloxacin,1,0,1.8373948,-4.07386,0
cisplatin,1,0,1.6469868,2.8196926,0
clofibrate,1,1,-6.209531,1.1843611,0
clomipramine,1,1,4.2035933,-1.8392158,0
cyclophosphamide,1,0,-0.16166316,-2.8266578,0
cyclosporinea,1,0,1.1644508,-5.259146,0
danazol,1,1,-6.5851994,-0.5181959,0
dantrolene,1,1,-5.1868477,-1.0294694,0
diazepam,1,1,-3.6468942,-2.3788946,0
diclofenac,1,0,6.9254866,-3.0978694,0
diltiazem,1,1,-3.0337882,1.1111659,0
disopyramide,1,0,-2.3549402,-1.403168,0
disulfiram,1,1,-3.4292119,-0.55748385,0
doxorubicin,1,0,1.6298921,2.8240516,0
enalapril,1,1,1.2169374,-1.004638,0
ethambutol,1,1,-7.3311634,-0.4855077,0
ethanol,1,1,1.7720041,-2.2235372,0
ethionamide,1,1,-7.8806367,-0.50657696,0
etoposide,1,0,-0.65928787,-4.8171697,0
famotidine,1,0,3.246142,-2.3668044,0
fenofibrate,1,1,-6.993143,0.93593764,0
fluphenazine,0,0,2.7851896,0.9860994,0
flutamide,1,1,-6.357492,-0.6828059,0
gefitinib,1,1,-0.020556265,-6.096329,0
gemfibrozil,1,1,-5.7575865,0.5667188,0
gentamicin,0,0,3.453694,-4.2871237,0
glibenclamide,1,0,0.12654288,-1.5907112,0
griseofulvin,1,1,4.6888285,-0.70787805,0
haloperidol,1,0,4.2010074,1.1532236,0
hexachlorobenzene,1,1,4.219041,-0.62657696,0
hydroxyzine,0,1,0.25201276,-1.2209259,0
ibuprofen,1,1,5.4212813,-2.715115,0
imatinibmethanesulfonatesalt,1,0,3.7223308,-3.2011228,0
imipramine,1,1,1.9539511,-0.51329243,0
indomethacin,1,1,7.428365,-3.113186,0
iproniazid,1,1,2.3685699,-2.756804,0
isoniazid,1,1,1.3145922,1.4758501,0
ketoconazole,1,1,-0.17033818,-1.2922446,0
labetalol,1,0,2.2386427,-0.8159684,0
lomustine,1,1,5.1085052,-1.5202097,0
mefenamicacid,1,1,6.4477816,-2.7566683,0
meloxicam,1,1,7.4335403,-2.8621352,0
metformin,1,1,1.1410562,-4.451373,0
methimazole,1,1,-2.9192524,1.7317457,0
methyldopa,1,0,3.5909572,0.76591766,0
methyltestosterone,1,1,-4.8280067,0.13069731,0
mexiletine,1,0,0.7618068,-2.659378,0
moxisylyte,1,1,-2.0402837,0.3520346,0
naproxen,1,1,6.9253173,-3.4926536,0
nicotinicacid,1,1,1.77752,-2.2929013,0
nifedipine,1,1,-2.9580853,1.2113494,0
nimesulide,1,1,-2.5635517,-1.9592879,0
nitrofurantoin,1,0,1.7384558,-3.0940049,0
omeprazole,1,1,-3.812328,-2.8755689,0
papaverine,1,1,-1.1405534,-1.7827792,0
pemoline,1,0,2.4738848,-4.0625205,0
penicillamine,1,0,2.7621446,-1.6247463,0
perhexiline,1,0,-0.7625204,-2.2442462,0
phenobarbital,1,1,-2.8462884,-2.8783202,0
phenytoin,1,1,-1.3466064,-1.2507216,0
propranolol,0,0,-2.6128812,-1.2949152,0
propylthiouracil,1,1,0.96129316,-0.46620554,0
quinidine,1,1,-1.3157092,-1.4770423,0
ranitidine,1,0,0.8073722,-1.3408853,0
rifampicin,1,1,0.8638974,-4.0243173,0
simvastatin,1,1,-5.9100814,0.54958564,0
sulfasalazine,1,1,-0.10661302,-3.5309298,0
sulindac,1,1,6.9015965,-2.9521205,0
tamoxifen,1,1,3.5589395,2.6996496,0
terbinafine,1,1,-4.8882527,-2.3503294,0
tetracycline,1,1,3.5517669,-0.25117278,0
theophylline,0,0,-2.2721152,-0.08958666,0
thioridazine,1,1,-1.0423062,0.3164844,0
ticlopidine,1,1,-6.6425424,-0.7900266,0
tolbutamide,1,1,-0.33912843,-1.9635909,0
triamterene,1,0,2.8175387,-1.3686348,0
valproicacid,1,0,-1.965206,-3.6609094,0
vitamina,1,1,4.6365986,-4.000024,0
