drug_key,y_hard,OR,TSNE1,TSNE2,kmeans
acarbose,1,0,6.9816394,-0.4487525,1
acetaminophen,1,1,-4.907057,3.3957722,0
acetazolamide,1,0,-0.5041784,-3.9530034,1
adapin,1,1,4.9758863,-4.821929,1
allopurinol,1,0,7.6821156,0.3867318,1
amiodarone,1,1,3.2001536,-0.9818337,1
amitriptyline,1,1,2.2158298,-1.3855292,1
amphotericinb,1,0,4.9086204,-3.6444812,1
aspirin,1,1,-4.8687134,0.26272234,0
azathioprine,1,1,-0.12676546,-2.6633606,1
bendazac,1,1,-5.223206,0.22810173,0
benzbromarone,1,1,-6.3243213,-0.23800029,0
benziodarone,1,1,-5.548303,-1.041838,0
bortezomib,1,1,7.8515153,4.722521,1
caffeine,0,0,-0.71805006,-4.771125,1
captopril,1,0,3.0743818,-4.1826487,1
carbamazepine,1,1,-4.0078335,4.007265,0
carbontetrachloride,1,1,2.1730776,4.335785,1
carboplatin,1,0,3.7787097,1.1909608,1
chlormezanone,1,1,-4.6130676,4.2134776,0
chlorpheniramine,0,0,6.3873644,-0.7752452,1
chlorpromazine,1,1,4.146255,-4.388853,1
chlorpropamide,1,1,-1.541808,-1.1376054,0
cimetidine,1,1,5.0457234,-0.03753971,1
ciprofloxacin,1,0,4.2357473,-1.7446697,1
cisplatin,1,0,-2.7228162,-4.1548386,1
clofibrate,1,1,-6.6029625,0.048565708,0
clomipramine,1,1,5.5635047,0.29854015,1
cyclophosphamide,1,0,0.57930183,-1.6775622,1
cyclosporinea,1,0,0.29358795,2.845855,1
danazol,1,1,-5.3529515,4.6100144,0
dantrolene,1,1,-4.8715706,2.6049426,0
diazepam,1,1,-3.854185,0.71039075,0
diclofenac,1,0,8.716584,2.758297,1
diltiazem,1,1,-1.7822644,3.863022,0
disopyramide,1,0,-2.4660504,1.3323413,0
disulfiram,1,1,-4.1133323,2.0774515,0
doxorubicin,1,0,-2.7586114,-4.2957983,1
enalapril,1,1,3.0198216,-3.9338174,1
ethambutol,1,1,-4.532692,5.4202976,0
ethanol,1,1,0.28506666,-5.9596753,1
ethionamide,1,1,-4.222357,6.161308,0
etoposide,1,0,4.1809535,3.355742,1
famotidine,1,0,7.0612354,-1.0348494,1
fenofibrate,1,1,-7.319518,0.11167745,0
fluphenazine,0,0,1.3622062,-4.9057508,1
flutamide,1,1,-5.1149645,4.016158,0
gefitinib,1,1,7.0245814,-3.3286493,1
gemfibrozil,1,1,-7.111154,0.8172253,0
gentamicin,0,0,7.704529,-1.3243098,1
glibenclamide,1,0,0.7108556,0.28523928,1
griseofulvin,1,1,1.8729552,1.9598284,1
haloperidol,1,0,2.8985796,-2.8399863,1
hexachlorobenzene,1,1,2.6098464,1.2734567,1
hydroxyzine,0,1,1.7412976,0.29435483,1
ibuprofen,1,1,7.3748446,0.79025054,1
imatinibmethanesulfonatesalt,1,0,5.0967455,0.9834132,1
imipramine,1,1,2.2334306,-1.455823,1
indomethacin,1,1,8.839019,3.4405854,1
iproniazid,1,1,5.559599,-2.3061771,1
isoniazid,1,1,-1.6281432,-4.7874155,1
ketoconazole,1,1,-0.45252314,-0.007298903,0
labetalol,1,0,1.2387091,-2.3210187,1
lomustine,1,1,7.6657543,2.0923443,1
mefenamicacid,1,1,8.758818,1.9303473,1
meloxicam,1,1,9.192258,2.7066183,1
metformin,1,1,4.129089,0.7962426,1
methimazole,1,1,-3.0042624,3.336721,0
methyldopa,1,0,1.7814521,-4.315312,1
methyltestosterone,1,1,-3.4970186,4.5099626,0
mexiletine,1,0,-0.7851615,-3.6638746,1
moxisylyte,1,1,-1.3095213,2.517618,0
naproxen,1,1,8.898506,3.0936031,1
nicotinicacid,1,1,-0.10450066,-3.853331,1
nifedipine,1,1,-2.3172138,3.3132257,0
nimesulide,1,1,-3.173344,1.5385491,0
nitrofurantoin,1,0,1.0406736,-4.955196,1
omeprazole,1,1,-4.2363462,1.6261909,0
papaverine,1,1,-0.82682943,0.40314716,0
pemoline,1,0,6.5486693,0.20945202,1
penicillamine,1,0,5.2393556,-1.5151412,1
perhexiline,1,0,-0.841922,-2.4979503,1
phenobarbital,1,1,-2.7233207,-0.18887569,0
phenytoin,1,1,-1.3865793,0.77679974,0
propranolol,0,0,-2.100441,-0.44823563,0
propylthiouracil,1,1,-2.4373767,-1.4563136,1
quinidine,1,1,-0.7897679,1.0271802,0
ranitidine,1,0,0.80831116,-1.0330774,1
rifampicin,1,1,3.2475471,-0.8399969,1
simvastatin,1,1,-7.261791,1.1636759,0
sulfasalazine,1,1,1.4985733,-3.163847,1
sulindac,1,1,8.17743,3.066172,1
tamoxifen,1,1,3.1274567,-0.20460743,1
terbinafine,1,1,-5.7458653,2.1861312,0
tetracycline,1,1,4.331108,-2.6096487,1
theophylline,0,0,-0.5505168,2.2117314,0
thioridazine,1,1,2.8875184,-2.472429,1
ticlopidine,1,1,-5.4597535,4.036956,0
tolbutamide,1,1,-0.9282807,-0.98475784,0
triamterene,1,0,5.5564656,-0.8600649,1
valproicacid,1,0,-4.0995574,-1.76747,0
vitamina,1,1,6.2556453,1.6548525,1
