drug_key,y_hard,OR,TSNE1,TSNE2,kmeans
acarbose,1,0,6.925041,-4.1566596,0
acetaminophen,1,1,0.121396214,5.7635546,1
acetazolamide,1,0,3.3944993,-3.9608026,1
adapin,1,1,7.9792504,-1.2761478,0
allopurinol,1,0,9.130794,-3.2214377,0
amiodarone,1,1,4.548276,-0.31946254,1
amitriptyline,1,1,5.1036735,-0.93033206,1
amphotericinb,1,0,7.5367174,-0.75796247,0
aspirin,1,1,-1.6360154,1.4089081,1
azathioprine,1,1,4.1884494,-2.1752663,1
bendazac,1,1,-2.0945778,1.3570962,1
benzbromarone,1,1,-2.9119823,0.5400387,1
benziodarone,1,1,-2.481371,0.23957878,1
bortezomib,1,1,12.244981,-3.072477,0
caffeine,0,0,2.6511018,-4.1655054,1
captopril,1,0,1.9211417,-1.2351807,1
carbamazepine,1,1,-1.2905202,5.986613,1
carbontetrachloride,1,1,-2.9436378,8.198107,0
carboplatin,1,0,5.1545787,-4.6174297,0
chlormezanone,1,1,-1.3322462,5.6778913,1
chlorpheniramine,0,0,7.7334433,-2.5063107,0
chlorpromazine,1,1,2.6041586,-1.4774419,1
chlorpropamide,1,1,2.2162483,0.21187496,1
cimetidine,1,1,6.364498,-0.39262626,0
ciprofloxacin,1,0,5.4133205,2.7472637,1
cisplatin,1,0,4.6264796,-4.788041,1
clofibrate,1,1,-3.121013,0.66835123,1
clomipramine,1,1,7.194282,-2.346899,0
cyclophosphamide,1,0,4.0571966,-1.8686587,1
cyclosporinea,1,0,4.1534114,3.4240427,1
danazol,1,1,0.013696579,6.6352944,1
dantrolene,1,1,-1.023537,3.9375927,1
diazepam,1,1,-1.492657,3.3520572,1
diclofenac,1,0,11.23781,-3.6231692,0
diltiazem,1,1,-2.4864352,5.6025014,1
disopyramide,1,0,2.0008595,3.9078426,1
disulfiram,1,1,0.3310497,4.1611605,1
doxorubicin,1,0,4.5756283,-5.0987754,0
enalapril,1,1,1.4173295,-0.9526894,1
ethambutol,1,1,-1.6367713,7.2404003,1
ethanol,1,1,2.5183594,-5.481252,0
ethionamide,1,1,-2.3510382,7.763535,1
etoposide,1,0,2.538682,-5.854546,0
famotidine,1,0,7.9327593,-3.3936987,0
fenofibrate,1,1,-3.547459,0.62812287,1
fluphenazine,0,0,1.5243609,-3.1801696,1
flutamide,1,1,-0.7584034,5.626952,1
gefitinib,1,1,9.1278,0.2561562,0
gemfibrozil,1,1,-3.908582,1.0316616,1
gentamicin,0,0,7.7592487,-4.0012403,0
glibenclamide,1,0,2.1125257,2.1563551,1
griseofulvin,1,1,-3.2378082,4.885166,1
haloperidol,1,0,0.46482667,-1.0867343,1
hydroxyzine,0,1,4.7181044,0.6981482,1
ibuprofen,1,1,6.41413,-4.0734644,0
imatinibmethanesulfonatesalt,1,0,7.940684,0.5878944,0
imipramine,1,1,5.5235143,-1.3986409,0
indomethacin,1,1,11.53718,-3.631779,0
iproniazid,1,1,5.4691305,-3.541113,0
isoniazid,1,1,2.6929636,-2.9572456,1
ketoconazole,1,1,-0.2538079,0.9921943,1
labetalol,1,0,2.0882745,-0.6422548,1
lomustine,1,1,10.796993,-2.7594535,0
mefenamicacid,1,1,10.657821,-4.4527907,0
meloxicam,1,1,11.084064,-3.8379366,0
metformin,1,1,6.699911,0.89858824,0
methimazole,1,1,-0.12693694,4.6950846,1
methyldopa,1,0,1.9273744,-2.5042496,1
methyltestosterone,1,1,-0.98706084,7.175132,1
mexiletine,1,0,3.5037885,-3.2704306,1
moxisylyte,1,1,1.5044165,4.572342,1
naproxen,1,1,10.730375,-3.664305,0
nicotinicacid,1,1,3.8310516,-3.9093354,0
nifedipine,1,1,-1.6382136,4.783225,1
nimesulide,1,1,-0.23828217,3.1037912,1
nitrofurantoin,1,0,1.1116036,-3.4245632,1
omeprazole,1,1,-0.33123505,4.483275,1
papaverine,1,1,1.8945031,2.511396,1
pemoline,1,0,8.548297,-2.8648045,0
penicillamine,1,0,6.44907,-1.9649332,0
perhexiline,1,0,3.1355023,1.7173828,1
phenobarbital,1,1,0.6876721,2.6630106,1
phenytoin,1,1,1.174077,2.7460513,1
propranolol,0,0,-0.19078262,2.4561472,1
propylthiouracil,1,1,3.1619043,4.6747417,1
quinidine,1,1,2.4137745,3.1697798,1
ranitidine,1,0,1.1813607,0.89684534,1
rifampicin,1,1,4.682142,-0.15231021,1
simvastatin,1,1,-4.0638814,1.1382337,1
sulfasalazine,1,1,3.3499055,-0.4685092,1
sulindac,1,1,11.3871765,-4.265658,0
tamoxifen,1,1,5.781119,0.78845847,1
terbinafine,1,1,-2.3374143,2.6892707,1
tetracycline,1,1,5.8920217,2.5773575,1
theophylline,0,0,3.0264137,2.8995142,1
thioridazine,1,1,0.23730789,-0.8698951,1
ticlopidine,1,1,-0.8587987,5.8240323,1
tolbutamide,1,1,0.835049,1.4588226,1
triamterene,1,0,6.5190425,-2.2525682,0
valproicacid,1,0,-2.1551201,-0.42986733,1
vitamina,1,1,7.920849,-4.9607525,0
