drug_key,y_hard,OR,TSNE1,TSNE2,kmeans
acarbose,1,0,0.15542825,-5.176727,1
acetaminophen,1,1,-4.264016,8.232842,0
acetazolamide,1,0,2.7577095,-1.893224,1
adapin,1,1,4.2584367,2.3165631,1
allopurinol,1,0,-1.2115169,-5.6800685,1
amiodarone,1,1,2.3291569,4.749063,0
amitriptyline,1,1,0.7216379,4.5284443,0
amphotericinb,1,0,3.7889156,3.6785157,1
aspirin,1,1,-3.9669735,5.4386973,0
azathioprine,1,1,1.2352401,-0.5947428,1
bendazac,1,1,-5.073208,5.5905266,0
benzbromarone,1,1,-6.5269694,5.347833,0
benziodarone,1,1,-6.30176,4.0684443,0
bortezomib,1,1,-4.5399003,-5.6712613,1
caffeine,0,0,3.6458533,-1.6611273,1
captopril,1,0,1.2515459,2.5954614,1
carbamazepine,1,1,-5.212878,8.567741,0
carbontetrachloride,1,1,-5.533297,-4.4165287,0
carboplatin,1,0,-1.5055902,-2.5818255,1
chlormezanone,1,1,-3.8267941,8.994235,0
chlorpheniramine,0,0,-0.07540216,-3.9206636,1
chlorpromazine,1,1,3.4090397,2.3461268,1
chlorpropamide,1,1,-0.8501419,4.3846564,0
cimetidine,1,1,-2.3334928,-1.8785913,1
ciprofloxacin,1,0,1.2829735,0.46776116,1
cisplatin,1,0,3.1471314,-3.5968776,1
clofibrate,1,1,-6.7446647,5.8768296,0
clomipramine,1,1,-1.8167534,-3.147879,1
cyclophosphamide,1,0,0.34960014,0.44214144,1
cyclosporinea,1,0,6.2310576,0.9677917,0
danazol,1,1,-4.8411965,9.769378,0
dantrolene,1,1,-4.0353913,7.2354155,0
diazepam,1,1,-5.251586,6.7929916,0
diclofenac,1,0,-3.0149002,-6.588467,1
diltiazem,1,1,-0.97652954,8.000057,0
disopyramide,1,0,-3.697058,4.3924074,0
disulfiram,1,1,-3.0047283,5.9705954,0
doxorubicin,1,0,3.26067,-3.559602,1
enalapril,1,1,1.0697215,3.1728852,0
ethambutol,1,1,-3.3469577,9.846768,0
ethanol,1,1,5.095061,-3.141378,1
ethionamide,1,1,-2.1340656,9.955986,0
etoposide,1,0,5.139081,-3.2044742,1
famotidine,1,0,0.99582046,-5.1329184,1
fenofibrate,1,1,-6.8873663,6.4696364,0
fluphenazine,0,0,3.880563,0.072996885,1
flutamide,1,1,-4.325407,8.9008665,0
gefitinib,1,1,-2.0303788,-0.4438896,1
gemfibrozil,1,1,-6.8725133,6.9492726,0
gentamicin,0,0,1.2336626,-5.499657,1
glibenclamide,1,0,-2.1466825,2.0732176,0
griseofulvin,1,1,0.040505987,8.193565,0
haloperidol,1,0,1.8563565,5.5837703,0
hexachlorobenzene,1,1,-1.1985644,-1.6555011,1
hydroxyzine,0,1,-1.085509,0.96306616,1
ibuprofen,1,1,-0.8125526,-5.1344786,1
imatinibmethanesulfonatesalt,1,0,-2.636537,-2.7803192,1
imipramine,1,1,-0.28806117,-0.2006339,1
indomethacin,1,1,-3.4636223,-6.293244,1
iproniazid,1,1,0.74072087,-2.909985,1
isoniazid,1,1,4.2131886,-1.7183899,1
ketoconazole,1,1,-3.8777885,1.8332036,0
labetalol,1,0,0.39716992,1.9874463,1
lomustine,1,1,-2.8049624,-7.7486753,1
mefenamicacid,1,1,-2.0614114,-7.0946274,1
meloxicam,1,1,-3.0394213,-7.135922,1
metformin,1,1,-2.9357665,-2.8632467,1
methimazole,1,1,-2.3428457,7.261489,0
methyldopa,1,0,3.3136103,0.2831252,1
methyltestosterone,1,1,-3.2268856,9.61378,0
mexiletine,1,0,2.4455943,-1.7055006,1
moxisylyte,1,1,-2.502607,7.7865973,0
naproxen,1,1,-2.6867535,-6.329788,1
nicotinicacid,1,1,2.3467271,-2.4079485,1
nifedipine,1,1,-1.6118904,6.973154,0
nimesulide,1,1,-2.1397703,5.2681255,0
nitrofurantoin,1,0,4.2588573,-0.33868337,1
omeprazole,1,1,-2.9691474,5.0917087,0
papaverine,1,1,-2.9896634,2.7932453,0
pemoline,1,0,-1.5024451,-4.9630733,1
penicillamine,1,0,0.8329308,-1.8091122,1
perhexiline,1,0,2.290569,-0.7656327,0
phenobarbital,1,1,-2.1074958,3.9481173,0
phenytoin,1,1,-2.7076178,4.1905417,0
propranolol,0,0,-1.487928,4.789267,0
propylthiouracil,1,1,-0.9207367,2.4151073,0
quinidine,1,1,-3.1486008,3.0565448,0
ranitidine,1,0,-0.10426794,1.7245375,0
rifampicin,1,1,2.1995285,4.3894954,1
simvastatin,1,1,-6.9136615,7.672459,0
sulfasalazine,1,1,2.399147,1.6581032,1
sulindac,1,1,-3.8945868,-6.7535386,1
tamoxifen,1,1,3.235116,5.2472243,0
terbinafine,1,1,-4.6080465,6.774877,0
tetracycline,1,1,1.3146093,1.2065179,1
theophylline,0,0,-0.39528888,5.9230065,0
thioridazine,1,1,1.801334,5.8329983,0
ticlopidine,1,1,-4.832335,8.970048,0
tolbutamide,1,1,-1.7322845,3.3231306,0
triamterene,1,0,-0.05630513,-1.6349853,1
valproicacid,1,0,-5.9615393,3.3245194,0
vitamina,1,1,-2.2225204,-4.372831,1
